ZAVSIFMAT,ZAVMATNAZ,ZAVSIF,ZAVNAZ,KAT_MAT,KATEGORIJA,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBD_SIF,OBDOBJE,STEV_UCENCEV,DOG_SIF,DOGODEK,VZROK_SIF,VZROK
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,11.10.2020,20.10.2020,19.10.2020,1044,2. razred,1,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,12.10.2020,21.10.2020,19.10.2020,1050,8. razred,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,12.10.2020,21.10.2020,19.10.2020,1051,9. razred,2,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,12.10.2020,21.10.2020,19.10.2020,1053,II. stopnja,2,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,12.10.2020,22.10.2020,19.10.2020,1049,7. razred,1,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,15.10.2020,24.10.2020,19.10.2020,1049,7. razred,1,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,20.01.2021,29.01.2021,22.01.2021,1047,5. razred,8,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,20.01.2021,29.01.2021,27.01.2021,1048,6. razred,6,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,22.01.2021,31.01.2021,27.01.2021,1049,7. razred,7,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,23.09.2020,02.10.2020,19.10.2020,1049,7. razred,2,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
