Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
DEXP,GL255,GL255,863MB,Phone,Mediatek MT6737,640x1280,320,armeabi;armeabi-v7a,24,"3,1"
DEXP,GL355,GL355,1902MB,Phone,Mediatek MT6739WW,640x1280,320,armeabi;armeabi-v7a,27,"3,2"
DEXP,GS150,GS150,891MB,Phone,Mediatek MT6739CH,480x960,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,GS153,GS153,891MB,Phone,Mediatek MT6739CH,480x960,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,GS155,GS155,891MB,Phone,Mediatek MT6739WW,480x960,240,armeabi;armeabi-v7a,27,"3,2"
DEXP,H110,H110,1819MB,Tablet,Spreadtrum SC9863A,1280x800,160,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,H210,H210,2824MB,Tablet,Spreadtrum SC9863A,1280x800,160,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,H270,H270,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi;armeabi-v7a,27,"3,2"
DEXP,DEXP Ixion X150,Ixion_X150,1862MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,"3,1"
DEXP,K11,K11,1938MB,Tablet,Spreadtrum SC7731,1280x800,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,K18,K18,1938MB,Tablet,Spreadtrum SC7731,1280x800,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,K21,K21,1796MB,Tablet,Spreadtrum SC9832E,1280x800,160,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
DEXP,L110,L110,1896MB,Tablet,Mediatek MT8735,1920x1200,240,armeabi;armeabi-v7a,27,"3,1"
DEXP,L170,L170,889MB,Tablet,Mediatek MT8321,800x1280,160,armeabi;armeabi-v7a,27,"2,0"
DEXP,L180,L180,1915MB,Tablet,Mediatek MT8735M,800x1280,160,armeabi;armeabi-v7a,27,"3,1"
DEXP,L210,L210,1938MB,Tablet,Spreadtrum SC7731E,800x1280,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,L270,L270,1938MB,Tablet,Spreadtrum SC7731E,600x1024,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,L370i,L370i,922MB,Tablet,Spreadtrum SC7731E,1024x600,160,armeabi;armeabi-v7a,28,"3,2"
DEXP,DEXP M110,M110,2701MB,Tablet,Mediatek MT6797,1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,26,"3,2"
DEXP,DEXP M210,M210,2701MB,Tablet,Mediatek MT6797,1200x1920,240,arm64-v8a;armeabi;armeabi-v7a,26,"3,2"
DEXP,M340,M340,904MB,Phone,Mediatek MT6580,480x800,240,armeabi;armeabi-v7a,24,"2,0"
DEXP,Ixion M355,M355,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,24,"3,1"
DEXP,M750,M750,897MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,DEXP Ixion M850,M850,1024MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,24,"2,0"
DEXP,ML245,ML245,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi;armeabi-v7a,24,"2,0"
DEXP,Ixion ML350,ML350,901MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,24,"3,1"
DEXP,Ixion ML450,ML450,901MB,Phone,Mediatek MT6737,720x1280,320,armeabi;armeabi-v7a,24,"3,1"
