leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;Cepstatus_PC_zadnjiodm_6mes;Cepstatus_Ostali;Cepstatus_PC_zadnjiodm_6mes_vec65_let;SARI_covid_vsi_np_cepstatus;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_covid_vsi;smrt_SARI_covid;odpust_covid_vsi;odpust_SARI_covid;SARI_sprejeti_EIZ;SARI_testirani_EIZ;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let;Stbolnisnic
2024_35;175;160;26;;;;;18;13;21;7;3;67;27;5;5;1;51;75;64;9;0;0;0;0;0;2;5;7;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;27
2024_36;173;169;27;;;;;20;12;18;3;1;43;14;6;5;2;65;87;78;4;0;0;0;0;0;4;7;5;7;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;27
2024_37;230;211;26;;;;;32;23;12;2;1;61;28;3;3;2;63;80;72;4;1;1;0;0;1;1;2;8;8;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;27
2024_38;260;243;51;;;;;30;16;24;4;4;72;25;5;5;4;58;84;74;10;4;0;0;0;0;1;8;22;6;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;2;2;27
2024_39;289;270;46;;;;;37;21;12;2;1;72;30;6;6;3;64;84;71;8;0;1;0;0;1;2;10;10;14;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;27
2024_40;297;273;51;;;;;41;25;24;8;7;76;31;13;13;6;76;85;66;1;0;0;0;0;2;5;15;12;16;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;3;4;27
2024_41;248;239;47;;;;;40;18;23;11;5;89;36;11;11;6;70;83;73;3;2;0;0;0;0;3;11;19;9;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;1;2;2;27
2024_42;249;221;38;;;;;15;18;15;6;4;73;30;14;14;9;73;88;68;3;0;0;0;0;1;2;6;15;11;0;0;0;0;0;1;3;2;2;1;0;0;0;0;0;0;0;0;1;3;27
2024_43;245;234;34;;;;;17;15;4;11;9;64;25;10;10;3;78;80;63;1;0;0;0;0;0;3;8;9;13;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;3;3;27
2024_44;232;210;27;;;;;14;19;5;8;3;45;25;7;6;1;67;76;81;5;0;0;0;1;0;0;2;9;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;27
2024_45;246;240;15;;;;;7;11;4;7;5;40;19;9;9;1;78;82;49;0;0;0;0;0;1;1;2;5;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;3;27
2024_46;240;230;20;;;;;8;5;17;4;3;30;16;11;11;2;64;85;63;3;1;0;0;0;1;0;5;3;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;27
2024_47;257;247;19;;;;;13;7;24;6;2;45;16;3;2;1;64;91;77;3;0;1;0;0;1;0;4;2;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;27
2024_48;243;215;31;;;;;13;15;17;8;6;34;14;5;4;2;77;81;72;0;1;0;0;2;0;2;5;9;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;4;27
2024_49;280;264;12;;;;;22;14;14;3;3;38;18;11;8;3;58;73;74;3;0;0;0;0;0;1;2;2;4;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;1;27
2024_50;252;243;22;;;;;15;18;26;7;3;54;18;8;8;2;75;84;62;1;0;0;0;0;1;2;6;4;8;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;27
2024_51;274;257;25;;;;;14;12;8;6;1;58;11;6;6;1;70;71;69;3;0;0;0;0;0;1;6;7;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;27
2024_52;280;273;14;;;;;2;3;4;4;2;27;9;15;15;1;68;76;75;2;0;0;0;0;0;1;3;3;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;27
