date,deceased.rhoccupant.todate,deceased.other.todate
2020-06-19,87,27
2020-06-20,87,27
2020-06-21,87,27
2020-06-22,87,27
2020-06-23,87,27
2020-06-24,87,27
2020-06-25,87,27
2020-06-26,87,27
2020-06-27,87,27
2020-06-28,87,27
2020-06-29,87,27
2020-06-30,87,27
2020-07-01,87,27
2020-07-02,87,27
2020-07-03,87,27
2020-07-04,87,27
2020-07-05,87,27
2020-07-06,87,27
2020-07-07,87,27
2020-07-08,87,27
2020-07-09,87,27
2020-07-10,87,27
2020-07-11,87,27
2020-07-12,87,27
2020-07-13,87,27
2020-07-14,87,27
2020-07-15,87,27
2020-07-16,87,27
2020-07-17,87,27
2020-07-18,87,27
2020-07-19,88,27
2020-07-20,89,27
2020-07-21,89,28
2020-07-22,89,28
2020-07-23,89,28
2020-07-24,90,28
2020-07-25,90,28
2020-07-26,90,29
2020-07-27,90,29
2020-07-28,90,30
2020-07-29,90,30
2020-07-30,91,30
2020-07-31,91,30
2020-08-01,91,31
2020-08-02,92,32
2020-08-03,92,33
2020-08-04,93,33
2020-08-05,93,33
2020-08-06,93,33
2020-08-07,94,33
2020-08-08,94,35
2020-08-09,94,36
2020-08-10,94,37
2020-08-11,94,37
2020-08-12,94,37
2020-08-13,94,37
2020-08-14,94,37
2020-08-15,94,37
2020-08-16,94,37
2020-08-17,94,37
2020-08-18,94,37
2020-08-19,94,37
2020-08-20,94,38
2020-08-21,94,38
2020-08-22,94,38
2020-08-23,94,39
2020-08-24,94,39
2020-08-25,94,39
2020-08-26,94,39
2020-08-27,94,39
2020-08-28,94,39
2020-08-29,94,39
2020-08-30,94,39
2020-08-31,94,39
2020-09-01,94,39
2020-09-02,94,39
2020-09-03,94,39
2020-09-04,94,40
2020-09-05,94,40
2020-09-06,94,40
2020-09-07,94,40
2020-09-08,94,41
2020-09-09,94,41
2020-09-10,94,41
2020-09-11,95,41
2020-09-12,95,42
2020-09-13,95,42
2020-09-14,95,42
2020-09-15,95,42
2020-09-16,96,42
2020-09-17,100,42
2020-09-18,101,43
2020-09-19,101,44
2020-09-20,101,44
2020-09-21,102,44
2020-09-22,102,45
2020-09-23,104,45
2020-09-24,104,46
2020-09-25,105,46
2020-09-26,105,47
2020-09-27,105,49
2020-09-28,105,49
2020-09-29,105,50
2020-09-30,105,52
2020-10-01,107,52
2020-10-02,107,52
2020-10-03,107,52
2020-10-04,109,52
2020-10-05,112,54
2020-10-06,112,54
2020-10-07,112,55
2020-10-08,112,57
2020-10-09,114,62
2020-10-10,114,62
2020-10-11,114,64
2020-10-12,115,66
2020-10-13,117,69
2020-10-14,117,72
2020-10-15,121,76
2020-10-16,123,79
2020-10-17,126,82
2020-10-18,128,84
2020-10-19,129,89
2020-10-20,135,94
2020-10-21,139,98
2020-10-22,144,102
2020-10-23,150,116
2020-10-24,153,118
2020-10-25,159,129
2020-10-26,170,133
2020-10-27,179,140
2020-10-28,187,152
2020-10-29,198,166
2020-10-30,207,184
2020-10-31,223,195
2020-11-01,234,207
2020-11-02,248,224
2020-11-03,258,245
2020-11-04,274,260
2020-11-05,290,272
2020-11-06,306,291
2020-11-07,314,304
2020-11-08,326,317
2020-11-09,341,330
2020-11-10,359,355
2020-11-11,382,381
2020-11-12,398,408
2020-11-13,419,428
2020-11-14,432,446
2020-11-15,447,465
2020-11-16,482,474
2020-11-17,506,495
2020-11-18,534,510
2020-11-19,554,527
2020-11-20,575,549
2020-11-21,589,561
2020-11-22,627,576
2020-11-23,658,601
2020-11-24,681,622
2020-11-25,710,647
2020-11-26,746,658
2020-11-27,784,683
2020-11-28,816,697
2020-11-29,848,716
2020-11-30,881,741
2020-12-01,923,763
2020-12-02,956,779
2020-12-03,1008,801
2020-12-04,1041,819
2020-12-05,1072,837
2020-12-06,1107,861
2020-12-07,1145,883
2020-12-08,1179,892
2020-12-09,1217,909
2020-12-10,1254,929
2020-12-11,1288,948
2020-12-12,1314,961
2020-12-13,1340,981
2020-12-14,1379,997
2020-12-15,1418,1010
2020-12-16,1446,1024
2020-12-17,1470,1039
2020-12-18,1496,1055
2020-12-19,1520,1071
2020-12-20,1536,1082
2020-12-21,1566,1097
2020-12-22,1590,1110
2020-12-23,1608,1124
2020-12-24,1624,1143
2020-12-25,1640,1160
2020-12-26,1656,1171
2020-12-27,1672,1203
2020-12-28,1695,1224
2020-12-29,1710,1240
2020-12-30,1722,1256
2020-12-31,1746,1274
2021-01-01,1755,1300
2021-01-02,1771,1318
2021-01-03,1782,1338
2021-01-04,1791,1359
2021-01-05,1806,1380
2021-01-06,1815,1396
2021-01-07,1826,1413
2021-01-08,1837,1429
2021-01-09,1852,1447
2021-01-10,1858,1460
2021-01-11,1869,1478
2021-01-12,1875,1495
2021-01-13,1878,1510
2021-01-14,1883,1528
2021-01-15,1890,1548
2021-01-16,1898,1569
2021-01-17,1906,1585
2021-01-18,1913,1606
2021-01-19,1918,1617
2021-01-20,1925,1630
2021-01-21,1931,1635
2021-01-22,1932,1641
2021-01-23,1932,1645
2021-01-24,1932,1649
