TheISOYearWeek,TheDate,st_test_PCR,st_test_HAGT,st_potrjenih_primerov
2020-39,2020-09-27,909,0,39
2020-40,2020-09-28,2382,0,99
2020-40,2020-09-29,3391,0,202
2020-40,2020-09-30,2899,0,175
2020-40,2020-10-01,3281,0,239
2020-40,2020-10-02,2893,0,228
2020-40,2020-10-03,1940,0,168
2020-40,2020-10-04,1034,0,75
2020-41,2020-10-05,2509,0,190
2020-41,2020-10-06,3998,0,357
2020-41,2020-10-07,3655,0,388
2020-41,2020-10-08,3682,0,363
2020-41,2020-10-09,4362,0,380
2020-41,2020-10-10,2956,0,411
2020-41,2020-10-11,1404,0,169
2020-42,2020-10-12,3308,0,399
2020-42,2020-10-13,4902,0,707
2020-42,2020-10-14,5287,0,748
2020-42,2020-10-15,5196,0,836
2020-42,2020-10-16,5605,0,898
2020-42,2020-10-17,3765,0,727
2020-42,2020-10-18,2637,0,537
2020-43,2020-10-19,4326,0,802
2020-43,2020-10-20,5891,0,1505
2020-43,2020-10-21,6215,0,1670
2020-43,2020-10-22,6745,0,1661
2020-43,2020-10-23,7025,0,1969
2020-43,2020-10-24,5776,0,1702
2020-43,2020-10-25,3682,0,1118
2020-44,2020-10-26,5756,0,1502
2020-44,2020-10-27,7471,0,2611
2020-44,2020-10-28,7202,0,2492
2020-44,2020-10-29,6368,0,1800
2020-44,2020-10-30,6710,0,1797
2020-44,2020-10-31,4807,0,1347
2020-44,2020-11-01,2244,0,557
2020-45,2020-11-02,4587,0,1177
2020-45,2020-11-03,6311,0,2032
2020-45,2020-11-04,5991,0,1691
2020-45,2020-11-05,5895,0,1567
2020-45,2020-11-06,6340,0,1613
2020-45,2020-11-07,3918,0,891
2020-45,2020-11-08,2063,0,466
2020-46,2020-11-09,4457,0,1089
2020-46,2020-11-10,7515,0,2228
2020-46,2020-11-11,6767,0,1932
2020-46,2020-11-12,5762,0,1516
2020-46,2020-11-13,6657,0,1740
2020-46,2020-11-14,3563,0,922
2020-46,2020-11-15,1792,0,500
2020-47,2020-11-16,5326,0,1393
2020-47,2020-11-17,6813,0,2018
2020-47,2020-11-18,6806,0,2068
2020-47,2020-11-19,5673,0,1549
2020-47,2020-11-20,6580,0,1691
2020-47,2020-11-21,3434,0,1025
2020-47,2020-11-22,1742,0,471
2020-48,2020-11-23,5596,0,1308
2020-48,2020-11-24,8063,0,2234
2020-48,2020-11-25,7396,0,1782
2020-48,2020-11-26,6587,0,1612
2020-48,2020-11-27,6938,0,1601
2020-48,2020-11-28,3644,0,1109
2020-48,2020-11-29,1875,0,427
2020-49,2020-11-30,5868,0,1299
2020-49,2020-12-01,7178,0,2438
2020-49,2020-12-02,6704,0,1776
2020-49,2020-12-03,6928,0,1786
2020-49,2020-12-04,6344,0,1647
2020-49,2020-12-05,3744,0,1033
2020-49,2020-12-06,1751,0,480
2020-50,2020-12-07,6158,0,1630
2020-50,2020-12-08,7003,0,2140
2020-50,2020-12-09,6410,0,1852
2020-50,2020-12-10,6453,0,1816
2020-50,2020-12-11,6127,0,1750
2020-50,2020-12-12,2648,0,834
2020-50,2020-12-13,1679,0,433
2020-51,2020-12-14,5634,0,1532
2020-51,2020-12-15,6579,2825,2112
2020-51,2020-12-16,6350,2761,1648
2020-51,2020-12-17,5862,2996,1517
2020-51,2020-12-18,5600,2872,1430
2020-51,2020-12-19,2646,330,882
2020-51,2020-12-20,1446,187,396
2020-52,2020-12-21,5763,3094,1551
2020-52,2020-12-22,6524,5470,2157
2020-52,2020-12-23,6385,9068,2064
2020-52,2020-12-24,5187,8505,1812
2020-52,2020-12-25,1336,259,369
2020-52,2020-12-26,1880,758,623
2020-52,2020-12-27,1664,453,533
2020-53,2020-12-28,5677,6319,1992
2020-53,2020-12-29,5764,8422,2430
2020-53,2020-12-30,6011,9205,2429
2020-53,2020-12-31,4073,5422,1772
2020-53,2021-01-01,1419,290,399
2020-53,2021-01-02,2304,1239,762
2020-53,2021-01-03,2041,887,766
2021-01,2021-01-04,5966,21327,2605
2021-01,2021-01-05,6956,17985,3428
2021-01,2021-01-06,6370,13672,2697
2021-01,2021-01-07,5259,10596,2084
2021-01,2021-01-08,4895,10432,1862
2021-01,2021-01-09,2669,2776,764
2021-01,2021-01-10,1720,652,426
2021-02,2021-01-11,5512,10253,1910
2021-02,2021-01-12,6193,7133,2105
2021-02,2021-01-13,5637,7139,1808
2021-02,2021-01-14,4897,7582,1501
2021-02,2021-01-15,4763,6593,1550
2021-02,2021-01-16,2497,769,575
2021-02,2021-01-17,1404,547,300
2021-03,2021-01-18,5306,10262,1707
2021-03,2021-01-19,5384,7221,1718
2021-03,2021-01-20,4813,7582,1458
2021-03,2021-01-21,4872,7369,1461
2021-03,2021-01-22,4405,8412,1521
2021-03,2021-01-23,2140,1009,541
2021-03,2021-01-24,1293,1608,297
2021-04,2021-01-25,4700,34567,1682
2021-04,2021-01-26,5418,11573,1877
2021-04,2021-01-27,4958,9613,1541
2021-04,2021-01-28,4506,8861,1305
2021-04,2021-01-29,4299,9781,1302
2021-04,2021-01-30,2408,2574,587
2021-04,2021-01-31,1461,3450,348
2021-05,2021-02-01,4536,36189,1516
2021-05,2021-02-02,5722,11532,1567
2021-05,2021-02-03,5175,10278,1267
2021-05,2021-02-04,5263,8546,960
2021-05,2021-02-05,4557,14010,984
2021-05,2021-02-06,2508,3266,498
2021-05,2021-02-07,1576,2547,308
2021-06,2021-02-08,1510,10709,338
2021-06,2021-02-09,5075,42250,1369
2021-06,2021-02-10,5504,22761,1338
2021-06,2021-02-11,5165,19849,1047
2021-06,2021-02-12,4473,20003,993
2021-06,2021-02-13,2224,5676,387
2021-06,2021-02-14,1633,9748,244
2021-07,2021-02-15,4414,40689,746
2021-07,2021-02-16,5140,21288,1100
2021-07,2021-02-17,4271,25034,875
2021-07,2021-02-18,4556,20954,911
2021-07,2021-02-19,4397,26392,960
2021-07,2021-02-20,2067,9054,419
2021-07,2021-02-21,1428,9354,250
2021-08,2021-02-22,4369,37578,903
2021-08,2021-02-23,5316,23961,1095
2021-08,2021-02-24,4565,26059,859
2021-08,2021-02-25,4484,21414,920
2021-08,2021-02-26,4861,28169,949
2021-08,2021-02-27,2611,6113,455
2021-08,2021-02-28,1451,9819,246
2021-09,2021-03-01,4487,51176,730
2021-09,2021-03-02,6231,25788,1212
2021-09,2021-03-03,5838,28206,1022
2021-09,2021-03-04,5440,23117,885
2021-09,2021-03-05,5288,31655,926
2021-09,2021-03-06,2785,7159,384
2021-09,2021-03-07,1681,7854,211
2021-10,2021-03-08,4700,51138,743
2021-10,2021-03-09,6017,26275,960
2021-10,2021-03-10,5794,27121,862
2021-10,2021-03-11,5222,26836,772
2021-10,2021-03-12,5167,33388,852
2021-10,2021-03-13,2984,7510,482
2021-10,2021-03-14,1625,6998,205
2021-11,2021-03-15,4842,49295,921
2021-11,2021-03-16,5989,26172,1114
2021-11,2021-03-17,5442,28299,976
2021-11,2021-03-18,5502,27170,944
2021-11,2021-03-19,5651,36096,1034
2021-11,2021-03-20,2849,7147,518
2021-11,2021-03-21,1842,6905,290
2021-12,2021-03-22,5022,49693,988
2021-12,2021-03-23,6979,28808,1289
2021-12,2021-03-24,6432,28547,1163
2021-12,2021-03-25,6646,28921,1037
2021-12,2021-03-26,6767,34004,1252
2021-12,2021-03-27,3462,8082,641
2021-12,2021-03-28,1774,5118,289
2021-13,2021-03-29,5513,49239,1084
2021-13,2021-03-30,7281,25122,1572
2021-13,2021-03-31,5698,22986,1340
2021-13,2021-04-01,5427,19054,1172
2021-13,2021-04-02,5052,19843,1300
2021-13,2021-04-03,2825,4485,721
2021-13,2021-04-04,1568,1456,283
2021-14,2021-04-05,1927,3899,273
2021-14,2021-04-06,4889,31743,1193
2021-14,2021-04-07,5436,21743,1531
2021-14,2021-04-08,5265,21961,1284
2021-14,2021-04-09,4811,27329,1257
2021-14,2021-04-10,2895,7832,549
2021-14,2021-04-11,1521,6193,291
2021-15,2021-04-12,4707,45877,1050
2021-15,2021-04-13,5377,24339,1236
2021-15,2021-04-14,4359,25460,894
2021-15,2021-04-15,4315,25593,862
2021-15,2021-04-16,3845,35051,772
2021-15,2021-04-17,2641,6992,476
2021-15,2021-04-18,1644,6868,233
2021-16,2021-04-19,3643,42114,726
2021-16,2021-04-20,4892,26292,1040
2021-16,2021-04-21,4325,26748,744
2021-16,2021-04-22,5372,31173,901
2021-16,2021-04-23,5180,43479,831
2021-16,2021-04-24,2690,9834,417
2021-16,2021-04-25,1354,6796,192
2021-17,2021-04-26,3653,33364,810
2021-17,2021-04-27,2008,4449,404
2021-17,2021-04-28,3937,36229,921
2021-17,2021-04-29,4442,33308,949
2021-17,2021-04-30,4197,36391,1019
2021-17,2021-05-01,1827,5401,367
2021-17,2021-05-02,1380,7646,210
2021-18,2021-05-03,4024,48048,893
2021-18,2021-05-04,4750,26262,930
2021-18,2021-05-05,4228,28911,777
2021-18,2021-05-06,4029,31966,609
2021-18,2021-05-07,4327,40915,634
2021-18,2021-05-08,2406,8801,291
2021-18,2021-05-09,1310,7229,146
2021-19,2021-05-10,3722,45860,491
2021-19,2021-05-11,4700,28425,730
2021-19,2021-05-12,4636,29679,599
2021-19,2021-05-13,3962,31486,472
2021-19,2021-05-14,4177,42858,496
2021-19,2021-05-15,2471,9391,293
2021-19,2021-05-16,1504,8134,115
2021-20,2021-05-17,4233,45517,497
2021-20,2021-05-18,4469,29516,538
2021-20,2021-05-19,3852,29715,358
2021-20,2021-05-20,4136,34446,334
2021-20,2021-05-21,4045,45836,382
2021-20,2021-05-22,2118,10013,158
2021-20,2021-05-23,1405,7020,84
2021-21,2021-05-24,3565,46275,323
2021-21,2021-05-25,4242,29358,391
2021-21,2021-05-26,4018,30509,367
2021-21,2021-05-27,3592,34780,289
2021-21,2021-05-28,3715,46482,356
2021-21,2021-05-29,1854,9000,137
2021-21,2021-05-30,1503,7868,92
2021-22,2021-05-31,3381,45207,323
2021-22,2021-06-01,4174,28505,373
2021-22,2021-06-02,3841,28577,273
2021-22,2021-06-03,3927,33966,280
2021-22,2021-06-04,3478,45597,247
2021-22,2021-06-05,2257,9449,157
2021-22,2021-06-06,1329,8718,58
2021-23,2021-06-07,3053,43154,220
2021-23,2021-06-08,3508,26471,254
2021-23,2021-06-09,3036,28291,195
2021-23,2021-06-10,2737,33123,123
2021-23,2021-06-11,2700,46038,126
2021-23,2021-06-12,1376,9418,91
2021-23,2021-06-13,1024,7307,24
2021-24,2021-06-14,2332,41901,113
2021-24,2021-06-15,2654,25742,117
2021-24,2021-06-16,2344,27346,84
2021-24,2021-06-17,2418,33621,89
2021-24,2021-06-18,2255,45967,84
2021-24,2021-06-19,1067,9816,26
2021-24,2021-06-20,810,6923,19
2021-25,2021-06-21,2194,35723,67
2021-25,2021-06-22,2090,19149,54
2021-25,2021-06-23,2163,32169,43
2021-25,2021-06-24,2172,55465,46
2021-25,2021-06-25,957,10593,11
2021-25,2021-06-26,861,13713,19
2021-25,2021-06-27,657,6895,11
2021-26,2021-06-28,1657,28396,36
2021-26,2021-06-29,2039,16595,47
2021-26,2021-06-30,1633,18417,23
2021-26,2021-07-01,1662,25373,24
2021-26,2021-07-02,1520,35179,30
2021-26,2021-07-03,850,12213,9
2021-26,2021-07-04,605,5699,8
2021-27,2021-07-05,1703,27461,48
