date,deceased
2012-07-10,55
2012-07-11,52
2012-07-12,57
2012-07-13,41
2012-07-14,56
2012-07-15,44
2012-07-16,47
2012-07-17,45
2012-07-18,52
2012-07-19,41
2012-07-20,60
2012-07-21,53
2012-07-22,40
2012-07-23,49
2012-07-24,50
2012-07-25,34
2012-07-26,36
2012-07-27,56
2012-07-28,49
2012-07-29,54
2012-07-30,52
2012-07-31,56
2012-08-01,47
2012-08-02,38
2012-08-03,56
2012-08-04,54
2012-08-05,38
2012-08-06,36
2012-08-07,55
2012-08-08,60
2012-08-09,60
2012-08-10,66
2012-08-11,46
2012-08-12,50
2012-08-13,48
2012-08-14,40
2012-08-15,55
2012-08-16,42
2012-08-17,49
2012-08-18,46
2012-08-19,52
2012-08-20,43
2012-08-21,45
2012-08-22,48
2012-08-23,47
2012-08-24,49
2012-08-25,57
2012-08-26,48
2012-08-27,59
2012-08-28,52
2012-08-29,59
2012-08-30,59
2012-08-31,53
2012-09-01,34
2012-09-02,36
2012-09-03,42
2012-09-04,49
2012-09-05,61
2012-09-06,49
2012-09-07,48
2012-09-08,44
2012-09-09,42
2012-09-10,40
2012-09-11,51
2012-09-12,60
2012-09-13,47
2012-09-14,47
2012-09-15,53
2012-09-16,44
2012-09-17,45
2012-09-18,47
2012-09-19,47
2012-09-20,52
2012-09-21,59
2012-09-22,61
2012-09-23,54
2012-09-24,51
2012-09-25,51
2012-09-26,56
2012-09-27,58
2012-09-28,52
2012-09-29,51
2012-09-30,56
2012-10-01,55
2012-10-02,47
2012-10-03,50
2012-10-04,63
2012-10-05,59
2012-10-06,47
2012-10-07,58
2012-10-08,58
2012-10-09,49
2012-10-10,54
2012-10-11,59
2012-10-12,60
2012-10-13,63
2012-10-14,56
2012-10-15,60
2012-10-16,42
2012-10-17,52
2012-10-18,49
2012-10-19,48
2012-10-20,52
2012-10-21,61
2012-10-22,57
2012-10-23,56
2012-10-24,61
2012-10-25,49
2012-10-26,51
2012-10-27,56
2012-10-28,64
2012-10-29,47
2012-10-30,52
2012-10-31,38
2012-11-01,70
2012-11-02,63
2012-11-03,60
2012-11-04,61
2012-11-05,54
2012-11-06,56
2012-11-07,62
2012-11-08,53
2012-11-09,43
2012-11-10,70
2012-11-11,58
2012-11-12,45
2012-11-13,52
2012-11-14,41
2012-11-15,55
2012-11-16,69
2012-11-17,58
2012-11-18,65
2012-11-19,47
2012-11-20,42
2012-11-21,52
2012-11-22,49
2012-11-23,62
2012-11-24,50
2012-11-25,48
2012-11-26,44
2012-11-27,55
2012-11-28,61
2012-11-29,44
2012-11-30,47
2012-12-01,63
2012-12-02,47
2012-12-03,66
2012-12-04,46
2012-12-05,66
2012-12-06,58
2012-12-07,58
2012-12-08,49
2012-12-09,42
2012-12-10,40
2012-12-11,66
2012-12-12,45
2012-12-13,61
2012-12-14,62
2012-12-15,52
2012-12-16,64
2012-12-17,60
2012-12-18,60
