dict,id,mizs_key,value
event_reason,GSOKUDD,3047,Okužba s Covid-19 pri drugem delavcu
event_reason,GSOKUUC,3048,Okužba s Covid-19 pri učencu ali več učencih oddelka
event_reason,ZAVSUMU,3057,Sum na okužbo s Covid-19 pri učitelju
event_reason,ZAVSUMDS,3058,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu
event_reason,ZAVSUMDD,3059,Sum na okužbo s Covid-19 pri drugem delavcu
event_reason,ZAVSUMUC,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
event_reason,ZAVOKUU,3061,Okužba s Covid-19 pri učitelju
event_reason,ZAVOKUDS,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
event_reason,ZAVOKUDD,3063,Okužba s Covid-19 pri drugem delavcu
event_reason,ZAVOKUUC,3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
reason,PVSUM,6001,Sum na okužbo
reason,PVOKU,6002,Okužba s Covid-19
reason,OSSUM,6003,Sum na okužbo
reason,OSOKU,6004,Okužba s Covid-19
reason,OSPPSUM,6005,Sum na okužbo
reason,OSPPOKU,6006,Okužba s Covid-19
reason,GSSUM,6007,Sum na okužbo
reason,GSOKU,6008,Okužba s Covid-19
reason,SSSUM,6009,Sum na okužbo
reason,SSOKU,6010,Okužba s Covid-19
reason,DDSUM,6011,Sum na okužbo
reason,DDOKU,6012,Okužba s Covid-19
reason,ZAVSUM,6013,Sum na okužbo
reason,ZAVOKU,6014,Okužba s Covid-19
reason,VSSSUM,6015,Sum na okužbo
reason,VSSOKU,6016,Okužba s Covid-19
reason,PVOSE,6017,Starši otroka niso poslali v vrtec zaradi osebnih razlogov (nima opravičila zdravnika)
reason,OSOSE,6018,Starši učenca niso poslali v šolo zaradi osebnih razlogov (nima opravičila zdravnika)
reason,OSPPOSE,6019,Starši učenca niso poslali v šolo zaradi osebnih razlogov (nima opravičila zdravnika)
reason,SSOSE,6020,Starši učenca niso poslali v šolo zaradi osebnih razlogov (nima opravičila zdravnika)
