week,date,date.to,week.confirmed,week.investigated,week.healthcare,week.healthcare.male,week.healthcare.female,week.rhoccupant,week.loc.family,week.loc.work,week.loc.school,week.loc.hospital,week.loc.otherhc,week.loc.rh,week.loc.prison,week.loc.transport,week.loc.shop,week.loc.restaurant,week.loc.sport,week.loc.gathering_private,week.loc.gathering_organized,week.loc.other,week.loc.unknown,week.sent_to.quarantine,week.src.quarantine,week.src.import,week.src.import-related,week.src.local,week.src.unknown,week.from.aus,week.from.aut,week.from.aze,week.from.bel,week.from.bgr,week.from.bih,week.from.cze,week.from.mne,week.from.dnk,week.from.dom,week.from.est,week.from.fra,week.from.grc,week.from.hrv,week.from.irn,week.from.ita,week.from.kaz,week.from.xkx,week.from.hun,week.from.mkd,week.from.mlt,week.from.mar,week.from.fsm,week.from.deu,week.from.pak,week.from.pol,week.from.rou,week.from.rus,week.from.svk,week.from.srb,week.from.esp,week.from.swe,week.from.che,week.from.tur,week.from.ukr,week.from.gbr,week.from.usa,week.from.are
2020-26,2020-06-22,2020-06-28,63,62,2,,,0,,,,,,,,,,,,,,,,386,15,18,24,17,3,,,,,,7,,,,,,,,,,,1,4,,,,,,,,,,,,7,,,,,,,,
2020-27,2020-06-29,2020-07-05,132,132,24,,,10,,,,,,,,,,,,,,,,519,14,24,12,77,19,,,,,,2,,1,,,,,,4,,,1,1,,,,,,,,,,,,15,,,,,,,,
2020-28,2020-07-06,2020-07-12,134,133,9,,,6,,,,,,,,,,,,,,,,405,33,19,6,83,25,,1,,,,1,,,,,,,,8,,1,,1,,,,,,,,,,,,6,,,1,,,,,
2020-29,2020-07-13,2020-07-19,104,44,9,,,6,,,,,,,,,,,,,,,,399,19,1,0,34,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
2020-30,2020-07-20,2020-07-26,134,74,14,,,18,,,,,,,,,,,,,,,,370,21,8,4,46,16,,1,,,,1,,,,,,,,5,,,,2,,1,,,,,,,,,,,,,,,,,,1
2020-31,2020-07-27,2020-08-02,94,56,7,,,2,,,,,,,,,,,,,,,,400,26,14,2,31,9,,1,,,,,,,,,,,,8,,1,,2,,,,,,1,,,,,1,2,,,,,,,,
2020-32,2020-08-03,2020-08-09,74,72,2,,,2,,,,,,,,,,,,,,,,415,16,29,9,20,14,,,,,,1,,,1,2,,1,,16,,1,,1,,,,,,2,,1,,,,3,,,,,,,,
2020-33,2020-08-10,2020-08-16,174,172,6,,,1,,,,,,,,,,,,,,,,680,26,82,21,38,28,,2,,,,6,,,,,,,1,65,,1,,1,,2,1,,,1,,,,,,,1,,,,,,,
2020-34,2020-08-17,2020-08-23,236,236,11,,,1,,,,,,,,,,,,,,,,780,45,102,28,55,50,,3,,,,12,,,,,,1,,70,,,,6,3,1,,,,,,1,1,1,,,2,,,,,,1,
2020-35,2020-08-24,2020-08-30,218,218,8,,,1,,,,,,,,,,,,,,,,911,70,35,20,99,63,,2,,,,2,,,,,,1,,22,,0,,3,,1,,,,3,,,,,,,,,,,,,,
2020-36,2020-08-31,2020-09-06,307,307,16,,,2,,,,,,,,,,,,,,,,1748,98,35,19,160,91,,2,,,,6,,,,,,,1,10,,1,,1,3,,,,,2,1,,,5,,,,,3,,,,,
2020-37,2020-09-07,2020-09-13,559,559,24,,,36,,,,,,,,,,,,,,,,1849,165,27,9,359,161,,7,,,,2,1,,,,,1,3,4,,1,,3,2,,,,,2,,,,1,,,,,,,,,,
2020-38,2020-09-14,2020-09-20,721,721,36,,,34,,,,,,,,,,,,,,,,2526,210,17,7,468,226,,4,,,,1,1,1,,,1,,,2,,2,,1,,,,,,3,,,,,,,,,,,,,,
2020-39,2020-09-21,2020-09-27,919,919,46,,,14,,,,,,,,,,,,,,,,,,21,1,599,296,,,,,1,2,,,,,,3,,2,,4,,1,1,,,,,,,,,1,,1,1,,1,1,,1,,
2020-40,2020-09-28,2020-10-04,1186,1185,91,,,37,,,,,,,,,,,,,,,,,,29,2,764,382,,4,,,,13,,1,,,,1,,1,,,,1,,1,,,1,1,,1,,1,,1,,,,,1,1,,
2020-41,2020-10-05,2020-10-11,2258,2257,168,,,85,,,,,,,,,,,,,,,,,,30,0,1475,742,,5,,,,11,2,,,,,,,2,1,4,,,1,,,1,,1,,,,,,,,,,,,,,
2020-42,2020-10-12,2020-10-18,4852,4828,251,,,179,,,,,,,,,,,,,,,,,,56,10,3135,1576,,10,,,,14,,,,,,,,19,,4,,,1,3,,,,,,3,,,,1,,,,,,1,,
2020-43,2020-10-19,2020-10-25,10427,8962,736,,,447,,,,,,,,,,,,,,,,,,49,15,5654,3091,,21,,,,11,,1,1,,2,1,,5,,2,,,,,,,,2,,,,2,,1,,,,,,,,
2020-44,2020-10-26,2020-11-01,12106,7994,828,,,621,,,,,,,,,,,,,,,,,,61,8,4945,2802,,33,,,,9,,,,,,1,,4,,3,,2,,,,1,,4,,,,2,,2,,,,,,,,
2020-45,2020-11-02,2020-11-08,9437,9027,723,,,927,,,,,,,,,,,,,,,,,,82,10,5269,3517,1,30,,,,8,,,,,1,1,,14,,3,,2,,1,,,,1,,1,,1,,8,,,,,,,,
2020-46,2020-11-09,2020-11-15,9927,9619,635,,,1146,,,,,,,,,,,,,,,,,,81,17,5928,3467,1,31,1,1,1,11,,,,,,,1,2,,1,,3,,3,,,,4,,,,,,7,,,,,,,,
2020-47,2020-11-16,2020-11-22,10215,9860,722,,,1444,2205,2571,11,191,55,1559,1,1,186,2,17,237,6,144,2508,,,88,20,6710,2866,1,48,,,,9,,,,,,,,,,3,,,1,1,,,,13,,,1,,,3,,,,,,,1,
2020-48,2020-11-23,2020-11-29,10073,9732,746,,,1334,2359,2595,13,254,59,1460,1,4,216,0,23,238,2,148,2349,,,69,12,7016,2464,1,23,,,,4,,,,,,,,2,,4,,,,1,,,,7,,,,1,,2,,,,,,,1,
2020-49,2020-11-30,2020-12-06,10459,10036,816,,,1411,2481,2736,14,239,48,1489,1,2,221,2,14,251,4,147,2386,,,64,16,7355,2431,1,39,,,,7,,,,,,,2,5,,2,,,,1,,,,3,,,,,,,,,,,,,,
2020-50,2020-12-07,2020-12-13,10454,9799,773,,,948,2666,2645,12,240,52,941,1,2,265,1,11,300,6,170,2414,,,53,14,7139,2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
