date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.administered3rd,vaccination.administered3rd.todate,vaccination.used.todate,vaccination.pfizer.used.todate,vaccination.moderna.used.todate,vaccination.az.used.todate,vaccination.janssen.used.todate,vaccination.novavax.used.todate,vaccination.delivered.todate,vaccination.pfizer.delivered,vaccination.pfizer.delivered.todate,vaccination.moderna.delivered,vaccination.moderna.delivered.todate,vaccination.az.delivered,vaccination.az.delivered.todate,vaccination.janssen.delivered,vaccination.janssen.delivered.todate,vaccination.novavax.delivered,vaccination.novavax.delivered.todate,vaccination.age.0-11.1st.todate,vaccination.age.0-11.2nd.todate,vaccination.age.0-11.3rd.todate,vaccination.age.12-17.1st.todate,vaccination.age.12-17.2nd.todate,vaccination.age.12-17.3rd.todate,vaccination.age.18-24.1st.todate,vaccination.age.18-24.2nd.todate,vaccination.age.18-24.3rd.todate,vaccination.age.25-29.1st.todate,vaccination.age.25-29.2nd.todate,vaccination.age.25-29.3rd.todate,vaccination.age.30-34.1st.todate,vaccination.age.30-34.2nd.todate,vaccination.age.30-34.3rd.todate,vaccination.age.35-39.1st.todate,vaccination.age.35-39.2nd.todate,vaccination.age.35-39.3rd.todate,vaccination.age.40-44.1st.todate,vaccination.age.40-44.2nd.todate,vaccination.age.40-44.3rd.todate,vaccination.age.45-49.1st.todate,vaccination.age.45-49.2nd.todate,vaccination.age.45-49.3rd.todate,vaccination.age.50-54.1st.todate,vaccination.age.50-54.2nd.todate,vaccination.age.50-54.3rd.todate,vaccination.age.55-59.1st.todate,vaccination.age.55-59.2nd.todate,vaccination.age.55-59.3rd.todate,vaccination.age.60-64.1st.todate,vaccination.age.60-64.2nd.todate,vaccination.age.60-64.3rd.todate,vaccination.age.65-69.1st.todate,vaccination.age.65-69.2nd.todate,vaccination.age.65-69.3rd.todate,vaccination.age.70-74.1st.todate,vaccination.age.70-74.2nd.todate,vaccination.age.70-74.3rd.todate,vaccination.age.75-79.1st.todate,vaccination.age.75-79.2nd.todate,vaccination.age.75-79.3rd.todate,vaccination.age.80-84.1st.todate,vaccination.age.80-84.2nd.todate,vaccination.age.80-84.3rd.todate,vaccination.age.85-89.1st.todate,vaccination.age.85-89.2nd.todate,vaccination.age.85-89.3rd.todate,vaccination.age.90+.1st.todate,vaccination.age.90+.2nd.todate,vaccination.age.90+.3rd.todate
2021-06-09,9804,754846,14115,519252,,,1238221,820335,128884,253671,35331,,1739610,,904410,,151200,,626400,,57600,,,3,2,,874,180,,25867,8612,,24328,10135,,28945,12063,,37451,15951,,50189,22505,,56411,28226,,65073,40144,,76851,51457,,79839,55164,,86209,72373,,78466,71361,,54963,50594,,45876,42236,,28192,25366,,15309,12883,
2021-06-10,16228,771074,17781,537033,,,1270949,846575,131029,256783,36562,,1739610,,904410,,151200,,626400,,57600,,,3,2,,1111,212,,28320,9573,,26204,11097,,30670,13337,,39384,17600,,52279,25008,,58576,31001,,66130,42052,,77650,53210,,80507,57300,,86697,73313,,78759,71790,,55134,50819,,46003,42358,,28273,25440,,15374,12921,
2021-06-11,7826,778900,17437,554470,,,1295172,861039,131994,264561,37578,,1751610,,904410,,151200,,626400,12000,69600,,,3,2,,1233,252,,29314,10442,,26846,12070,,31365,14439,,40253,18959,,53310,26988,,59620,33165,,66809,44181,,78212,55593,,80917,59681,,86978,74480,,78901,72237,,55257,51051,,46089,42480,,28348,25501,,15445,12949,
2021-06-12,4692,783592,6698,561168,,,1305984,866670,131994,269171,38149,,1751610,,904410,,151200,,626400,,69600,,,3,2,,1321,253,,30055,10749,,27326,12523,,31821,14938,,40821,19585,,53928,27767,,60237,34096,,67161,44991,,78476,56506,,81096,60433,,87116,74901,,78979,72350,,55318,51107,,46118,42501,,28366,25514,,15450,12952,
2021-06-13,2628,786220,709,561877,,,1309318,869021,132840,269308,38149,,1751610,,904410,,151200,,626400,,69600,,,3,2,,1359,257,,30410,10787,,27589,12550,,32118,14995,,41120,19655,,54501,27829,,60824,34173,,67289,45067,,78507,56599,,81117,60524,,87128,74986,,78990,72368,,55324,51113,,46124,42504,,28367,25516,,15450,12952,
2021-06-14,2941,789161,3939,565816,,,1316020,870711,134437,272548,38324,,1875240,92430,996840,14400,165600,16800,643200,,69600,,,3,2,,1399,264,,30963,11153,,28010,12666,,32485,15148,,41505,19874,,54766,28122,,61052,34596,,67449,45611,,78665,57223,,81243,61366,,87221,75262,,79052,72422,,55374,51128,,46147,42509,,28375,25517,,15452,12953,
2021-06-15,5699,794860,4967,570783,,,1325702,876799,135863,273737,39303,,1875240,,996840,,165600,,643200,,69600,,,3,2,,1621,268,,31973,11513,,28711,12995,,33157,15479,,42230,20360,,55389,28762,,61566,35227,,67775,46119,,78918,57713,,81469,61939,,87390,75603,,79174,72558,,55438,51193,,46195,42545,,28393,25540,,15458,12967,
2021-06-16,7293,802153,10663,581446,,,1342145,886042,140242,275055,40806,,1875240,,996840,,165600,,643200,,69600,,,3,2,,1993,274,,33025,12203,,29353,13597,,33842,16200,,43055,21348,,56212,30151,,62334,36607,,68232,47260,,79372,58835,,81874,63076,,87722,76347,,79383,72926,,55557,51372,,46273,42652,,28442,25590,,15481,13006,
2021-06-17,7753,809906,14244,595690,,,1362452,897239,145192,277552,42469,,1889640,,996840,14400,180000,,643200,,69600,,,3,2,,2759,291,,34114,13419,,29967,14605,,34406,17447,,43738,22822,,56959,31862,,63094,38281,,68798,48657,,79891,60229,,82280,64441,,88072,77182,,79621,73332,,55693,51562,,46387,42805,,28545,25676,,15579,13077,
2021-06-18,4927,814833,9997,605687,,,1376360,904456,147740,280706,43458,,1889640,,996840,,180000,,643200,,69600,,,3,2,,2941,308,,34789,14129,,30386,15205,,34781,18309,,44182,23779,,57438,33111,,63541,39428,,69235,49710,,80298,61288,,82614,65565,,88328,77725,,79823,73615,,55808,51731,,46470,42907,,28588,25747,,15608,13128,
2021-06-19,1338,816171,1339,607026,,,1378684,905507,147740,281635,43802,,1889640,,996840,,180000,,643200,,69600,,,3,2,,2974,308,,35023,14248,,30522,15270,,34921,18375,,44345,23896,,57603,33241,,63703,39565,,69325,49816,,80377,61417,,82667,65909,,88367,77816,,79845,73636,,55819,51738,,46479,42913,,28589,25748,,15609,13128,
2021-06-20,90,816261,1413,608439,,,1380182,905507,147740,283133,43802,,1889640,,996840,,180000,,643200,,69600,,,3,2,,2974,308,,35034,14317,,30529,15385,,34928,18514,,44351,24085,,57615,33529,,63718,39912,,69335,49933,,80385,61497,,82672,65966,,88372,77828,,79849,73636,,55819,51738,,46479,42913,,28589,25748,,15609,13128,
2021-06-21,1751,818012,4126,612565,,,1385435,906416,149014,285585,44420,,2034150,120510,1117350,,180000,24000,667200,,69600,,,3,2,,3179,309,,35294,14679,,30689,15645,,35065,18808,,44507,24411,,57781,33986,,63898,40374,,69447,50280,,80474,61859,,82766,66734,,88433,78136,,79901,73716,,55850,51797,,46506,42940,,28603,25758,,15616,13131,
2021-06-22,3086,821098,7818,620383,,,1395824,912039,149941,288948,44896,,2034150,,1117350,,180000,,667200,,69600,,,3,2,,3479,322,,35743,15216,,30929,16093,,35320,19329,,44763,25005,,58058,35632,,64153,41591,,69688,51050,,80698,62610,,82945,67312,,88569,78473,,80019,73898,,55912,51904,,46558,43007,,28628,25782,,15633,13157,
2021-06-23,4978,826076,15862,636245,,,1415747,929260,150763,289938,45786,,2034150,,1117350,,180000,,667200,,69600,,,3,2,,3902,412,,36463,16772,,31304,17383,,35697,20590,,45170,26522,,58521,37241,,64609,43351,,70042,52961,,81079,64568,,83262,68535,,88825,79279,,80205,74315,,56031,52137,,46642,43134,,28673,25852,,15648,13191,
2021-06-24,5134,831210,21708,657953,,,1441474,947292,155609,291724,46849,,2060550,,1117350,14400,194400,,667200,12000,81600,,,5,4,,4172,539,,37118,18886,,31699,19050,,36074,22265,,45574,28550,,58973,39731,,65080,45912,,70506,55345,,81493,66818,,83673,70326,,89134,80448,,80428,75013,,56144,52501,,46731,43364,,28728,25953,,15678,13248,
2021-06-25,10,831220,59,658012,,,1441534,947292,155609,291775,46858,,2060550,,1117350,,194400,,667200,,81600,,,5,4,,4172,539,,37119,18896,,31700,19052,,36076,22271,,45574,28554,,58974,39735,,65082,45921,,70507,55352,,81493,66822,,83674,70335,,89135,80452,,80428,75013,,56144,52501,,46731,43364,,28728,25953,,15678,13248,
2021-06-26,438,831658,3756,661768,,,1445566,948653,158092,291801,47020,,2060550,,1117350,,194400,,667200,,81600,,,5,4,,4192,543,,37181,19084,,31732,19161,,36108,22400,,45614,28715,,59021,39894,,65114,46110,,70542,55911,,81545,67496,,83718,71067,,89151,80966,,80444,75231,,56150,52566,,46733,43400,,28729,25968,,15679,13252,
2021-06-27,10,831668,11,661779,,,1445580,948657,158092,291804,47027,,2060550,,1117350,,194400,,667200,,81600,,,5,4,,4192,543,,37184,19087,,31733,19162,,36108,22400,,45616,28716,,59023,39896,,65115,46112,,70543,55911,,81545,67496,,83718,71067,,89151,80968,,80444,75231,,56150,52566,,46733,43400,,28729,25968,,15679,13252,
2021-06-28,1309,832977,5193,666972,,,1451779,951808,158626,294037,47308,,2170530,109980,1227330,,194400,,667200,,81600,,,5,4,,4267,568,,37370,19550,,31865,19498,,36206,22737,,45734,29920,,59177,40759,,65252,46596,,70623,56255,,81631,67841,,83792,71420,,89222,81217,,80489,75336,,56173,52605,,46751,43424,,28739,25983,,15681,13259,
2021-06-29,1954,834931,10339,677311,,,1463483,959171,159009,297429,47874,,2297730,,1227330,,194400,127200,794400,,81600,,,5,4,,4332,645,,37676,21077,,32043,20689,,36377,24147,,45889,30961,,59368,41831,,65454,47648,,70783,57035,,81799,68531,,83915,72125,,89316,81552,,80557,75532,,56207,52734,,46772,43512,,28752,26014,,15686,13274,
2021-06-30,3758,838689,11333,688644,,,1477703,968879,161563,298536,48725,,2313330,,1227330,15600,210000,,794400,,81600,,,5,4,,4535,731,,38217,22359,,32304,21583,,36648,25172,,46204,32103,,59745,43157,,65801,48876,,71060,58235,,82103,69600,,84176,72946,,89532,82067,,80707,75802,,56304,52893,,46844,43654,,28804,26113,,15700,13349,
2021-07-01,3703,842392,16899,705543,1,1,1497583,982887,164082,301203,49411,,2313330,,1227330,,210000,,794400,,81600,,,5,4,,4736,949,,38644,24470,,32604,23097,,36931,26728,,46478,33880,1,60093,45184,,66097,50931,,71364,59596,,82416,70961,,84452,74393,,89764,82785,,80890,76146,,56399,53080,,46928,43767,,28857,26173,,15734,13399,
2021-07-02,3884,846276,11311,716854,2,3,1511963,994085,164919,302777,50182,,2330130,,1227330,,210000,,794400,16800,98400,,,5,4,,5128,1088,,39128,25801,,32853,24075,,37194,27740,,46809,35068,1,60440,46597,,66410,52369,1,71625,60623,,82746,71802,,84732,75346,,89992,83314,1,81069,76344,,56507,53207,,47002,43843,,28889,26209,,15747,13424,
2021-07-03,423,846699,1205,718059,,3,1513508,995303,164919,303021,50265,,2330130,,1227330,,210000,,794400,,98400,,,5,4,,5150,1100,,39190,25987,,32888,24190,,37219,27840,,46850,35212,1,60486,46728,,66452,52516,1,71658,60687,,82788,71852,,84756,75528,,90016,83356,1,81081,76359,,56514,53215,,47006,43848,,28891,26210,,15749,13427,
2021-07-04,,846699,18,718077,,3,1513526,995303,164919,303039,50265,,2330130,,1227330,,210000,,794400,,98400,,,5,4,,5150,1100,,39190,25987,,32888,24193,,37219,27846,,46850,35217,1,60486,46728,,66452,52520,1,71658,60687,,82788,71852,,84756,75528,,90016,83356,1,81081,76359,,56514,53215,,47006,43848,,28891,26210,,15749,13427,
2021-07-05,1451,848150,5533,723610,,3,1520090,998455,166446,304524,50665,,2402670,72540,1299870,,210000,,794400,,98400,,,6,5,,5250,1143,,39361,26619,,32984,24620,,37308,28307,,46964,35734,1,60592,47399,,66594,53176,1,71779,61235,,82917,72418,,84884,75993,,90111,83626,1,81151,76483,,56554,53292,,47036,43898,,28903,26232,,15756,13430,
2021-07-06,2247,850397,6713,730323,1,4,1528408,1005288,166791,305047,51282,,2402670,,1299870,,210000,,794400,,98400,,,6,5,,5389,1344,,39607,27668,,33134,25313,,37482,29022,,47171,36526,1,60789,48273,,66794,54027,2,71954,61701,,83103,72750,,85040,76302,,90247,83822,1,81273,76589,,56636,53362,,47080,43932,,28926,26247,,15766,13440,
2021-07-07,4497,854894,9203,739526,2,6,1540907,1014291,167970,306206,52440,,2414670,,1299870,12000,222000,,794400,,98400,,,6,5,,5605,1582,,40131,28889,,33422,26116,,37812,29912,,47535,37607,2,61179,49335,,67207,55117,2,72330,62354,,83519,73373,,85389,76913,1,90562,84265,1,81505,76806,,56765,53484,,47162,44015,,28981,26293,,15784,13460,
2021-07-08,5724,860618,11365,750891,3,9,1556781,1024854,169830,308486,53611,,2414670,,1299870,,222000,,794400,,98400,,,6,5,,6022,2171,,40708,30337,1,33775,27017,,38166,30841,,47957,38811,3,61664,50692,,67687,56388,3,72766,63266,,83995,74241,,85894,77677,1,90996,84738,1,81820,77106,,56981,53652,,47301,44104,,29056,26348,,15824,13497,
2021-07-09,4311,864929,8182,759073,23,32,1567982,1030669,171850,310572,54891,,2448270,,1299870,,222000,24000,818400,9600,108000,,,6,5,,6188,2410,,41130,31417,2,34010,27717,,38436,31486,,48323,39624,3,62043,51560,,68119,57309,3,73146,63971,2,84418,74912,,86246,78372,2,91334,85135,5,82072,77316,5,57115,53766,3,47401,44177,4,29099,26383,,15843,13513,3
2021-07-10,726,865655,621,759694,1,33,1569074,1031510,171850,310572,55142,,2448270,,1299870,,222000,,818400,,108000,,,6,5,,6222,2437,,41186,31499,2,34066,27763,,38481,31535,,48386,39670,3,62116,51637,,68195,57398,3,73229,64041,2,84483,74965,,86311,78405,2,91381,85156,6,82104,77329,5,57136,53777,3,47406,44180,4,29103,26384,,15844,13513,3
2021-07-11,217,865872,138,759832,1,34,1569304,1031611,171850,310575,55268,,2448270,,1299870,,222000,,818400,,108000,,,6,5,,6229,2439,,41199,31508,2,34079,27772,,38491,31544,,48407,39685,4,62137,51651,,68223,57414,3,73245,64053,2,84510,74984,,86329,78419,2,91395,85163,6,82119,77335,5,57144,53781,3,47410,44181,4,29105,26385,,15844,13513,3
2021-07-12,3011,868883,4072,763904,1,35,1575585,1034403,173760,311375,56047,,2270810,72540,1372410,,222000,-250000,568400,,108000,,,6,5,,6350,2539,,41533,32166,2,34290,28263,,38700,31962,,48655,40209,4,62442,52103,,68491,57854,3,73515,64350,3,84774,75214,,86577,78606,2,91607,85259,6,82281,77410,5,57219,53831,3,47469,44212,4,29124,26401,,15850,13520,3
2021-07-13,3077,871960,4360,768264,1,36,1582265,1039481,173916,312110,56758,,2270810,,1372410,,222000,,568400,,108000,,,6,5,,6529,2791,,41876,32812,2,34505,28627,1,38926,32297,,48929,40633,4,62726,52595,,68781,58329,3,73791,64702,3,85068,75516,,86798,78902,2,91778,85455,6,82435,77529,5,57289,53887,3,47524,44247,4,29145,26414,,15854,13523,3
2021-07-14,6257,878217,6514,774778,,36,1593221,1046706,175110,312866,58539,,2282810,,1372410,12000,234000,,568400,,108000,,,6,5,,6869,3107,,42513,33664,2,34981,29235,1,39405,32886,,49507,41324,4,63349,53320,,69401,59056,3,74337,65216,3,85600,75990,,87263,79255,2,92132,85749,6,82700,77685,5,57454,53989,3,47619,44308,4,29200,26443,,15881,13546,3
2021-07-15,7545,885762,8955,783733,5,41,1607141,1055834,175736,314501,61070,,2294810,,1372410,,234000,12000,580400,,108000,,,6,5,,7219,3426,,43261,34803,2,35508,29927,1,39958,33656,,50221,42273,4,64194,54505,1,70147,60059,5,75004,65949,4,86260,76628,,87825,79787,2,92608,86097,6,83002,77906,5,57628,54129,4,47737,44424,4,29264,26558,,15920,13601,3
2021-07-16,6330,892092,5975,789708,1,42,1617300,1062258,176509,315368,63165,,2294810,,1372410,,234000,,580400,,108000,,,6,5,,7444,3673,,43923,35641,3,35952,30368,1,40484,34143,,50869,42881,4,64938,55169,1,70861,60728,5,75585,66453,4,86807,77116,,88234,80182,2,92921,86334,6,83207,78052,5,57777,54234,4,47825,44498,4,29312,26606,,15947,13625,3
2021-07-17,1381,893473,1082,790790,,42,1618955,1063003,176543,315454,63955,,2294810,,1372410,,234000,,580400,,108000,,,6,5,,7455,3683,,44047,35752,3,36068,30473,1,40593,34230,,51033,43003,4,65107,55307,1,71058,60882,5,75739,66569,4,86935,77207,,88305,80258,2,92974,86362,6,83245,78076,5,57801,54246,4,47838,44502,4,29316,26607,,15953,13628,3
2021-07-18,28,893501,9,790799,,42,1618986,1063028,176543,315454,63961,,2294810,,1372410,,234000,,580400,,108000,,,6,5,,7456,3683,,44047,35752,3,36071,30474,1,40593,34230,,51033,43003,4,65108,55308,1,71061,60885,5,75746,66572,4,86939,77207,,88305,80258,2,92976,86362,6,83248,78076,5,57802,54246,4,47839,44502,4,29318,26608,,15953,13628,3
2021-07-19,3169,896670,2994,793793,2,44,1624045,1065370,177354,316270,65051,,2367350,72540,1444950,,234000,,580400,,108000,,,6,5,,7570,3769,,44425,36175,3,36298,30728,2,40855,34506,,51349,43371,5,65399,55625,1,71435,61258,5,76059,66833,4,87198,77429,,88499,80430,2,93169,86483,6,83362,78133,5,57874,54278,4,47878,44522,4,29338,26618,,15956,13630,3
2021-07-20,3470,900140,3368,797161,1,45,1629565,1069238,177391,316589,66347,,2367350,,1444950,,234000,,580400,,108000,,,6,5,,7712,3858,,44814,36622,3,36562,31037,2,41130,34790,,51653,43689,5,65807,56042,1,71777,61634,5,76408,67129,5,87487,77674,,88728,80596,2,93349,86624,6,83470,78215,5,57962,54331,4,47942,44590,4,29370,26665,,15963,13660,3
2021-07-21,6172,906312,5496,802657,3,48,1639218,1075808,177932,317140,68338,,2319350,,1444950,,234000,-48000,532400,,108000,,,6,5,,8053,4023,,45518,37291,3,37033,31462,2,41607,35213,,52169,44210,5,66406,56682,1,72402,62305,6,76943,67603,5,88028,78121,,89169,80954,2,93703,86859,6,83717,78380,5,58125,54428,4,48036,44678,4,29409,26731,,15988,13712,5
2021-07-22,6437,912749,6316,808973,2,50,1650141,1083553,178245,318208,70135,,2319350,,1444950,,234000,,532400,,108000,,,7,5,,8419,4393,,46260,37956,3,37450,31891,2,42101,35672,,52719,44859,5,66995,57391,1,73022,62990,6,77492,68119,6,88595,78582,1,89616,81346,2,94105,87158,6,83990,78589,5,58318,54568,4,48182,44801,4,29464,26824,,16014,13829,5
2021-07-23,5871,918620,5274,814247,,50,1659314,1090316,178331,318598,72069,,2360150,,1444950,12000,246000,28800,561200,,108000,,,7,5,,8636,4565,,46909,38557,3,37864,32287,2,42561,36112,,53219,45340,5,67613,57933,1,73620,63560,6,78058,68582,6,89130,79043,1,90057,81734,2,94431,87436,6,84218,78783,5,58463,54682,4,48297,44894,4,29506,26874,,16031,13860,5
2021-07-24,1113,919733,751,814998,,50,1660803,1091219,178559,318601,72424,,2360150,,1444950,,246000,,561200,,108000,,,7,5,,8676,4588,,47011,38639,3,37943,32349,2,42667,36180,,53336,45437,5,67741,58027,1,73738,63648,6,78173,68652,6,89240,79113,1,90130,81777,2,94476,87461,6,84259,78797,5,58481,54690,4,48306,44897,4,29516,26877,,16033,13861,5
2021-07-25,8,919741,17,815015,,50,1660823,1091223,178559,318612,72429,,2360150,,1444950,,246000,,561200,,108000,,,7,5,,8678,4588,,47012,38640,3,37944,32354,2,42668,36184,,53336,45439,5,67742,58028,1,73739,63649,6,78173,68652,6,89240,79113,1,90131,81779,2,94476,87461,6,84259,78797,5,58481,54690,4,48306,44898,4,29516,26877,,16033,13861,5
2021-07-26,3336,923077,2630,817645,1,51,1665845,1094707,178615,319178,73345,,2432690,72540,1517490,,246000,,561200,,108000,,,7,5,,8848,4715,,47418,38993,3,38207,32607,2,42929,36389,,53636,45724,5,68098,58304,1,74050,63933,6,78459,68878,7,89557,79291,1,90360,81932,2,94630,87572,6,84392,78875,5,58559,54735,4,48354,44932,4,29535,26893,,16038,13867,5
2021-07-27,4861,927938,2895,820540,,51,1672256,1099526,178664,319391,74675,,2432690,,1517490,,246000,,561200,,108000,,,7,5,,9093,4848,,48055,39324,3,38612,32839,2,43317,36637,,54069,45978,5,68582,58620,1,74497,64240,6,78873,69117,7,89958,79516,1,90680,82106,2,94888,87688,6,84576,78969,5,58670,54814,4,48432,44984,4,29573,26943,,16056,13912,5
2021-07-28,5219,933157,5132,825672,12,63,1681047,1105889,179046,319888,76224,,2432690,,1517490,,246000,,561200,,108000,,,7,5,,9458,5042,,48654,39870,3,38949,33172,2,43693,36998,1,54495,46406,5,69072,59095,1,74978,64736,6,79321,69555,7,90392,79939,1,91077,82468,2,95234,88006,7,84803,79191,7,58802,54968,5,48542,45121,6,29605,27068,2,16075,14032,8
2021-07-29,5653,938810,6238,831910,3,66,1691529,1113315,179957,320650,77607,,2473490,,1517490,,246000,40800,602000,,108000,,,7,5,,9777,5300,,49323,40592,3,39331,33674,3,44111,37464,1,54958,46929,5,69539,59751,1,75517,65376,6,79840,70029,8,90888,80399,1,91517,82896,2,95577,88351,7,85052,79451,7,58965,55176,5,48645,45252,6,29666,27171,3,16097,14094,8
2021-07-30,4109,942919,5276,837186,5,71,1699467,1119096,180101,321257,79013,,2497490,,1517490,12000,258000,,602000,12000,120000,,,7,5,,10004,5505,,49782,41138,3,39602,34011,3,44448,37845,1,55333,47379,5,69978,60289,3,75907,65888,6,80257,70476,8,91254,80816,2,91805,83281,3,95790,88704,7,85183,79717,8,59051,55333,5,48710,45388,6,29698,27261,3,16110,14150,8
2021-07-31,1442,944361,1222,838408,1,72,1701489,1120337,180218,321288,79646,,2497490,,1517490,,258000,,602000,,120000,,,7,5,,10083,5549,,49927,41242,3,39704,34102,3,44579,37954,1,55490,47503,5,70143,60442,3,76076,66034,6,80380,70585,8,91366,80916,2,91891,83375,3,95845,88768,8,85240,79761,8,59082,55354,5,48727,45400,6,29707,27267,3,16114,14151,8
2021-08-01,8,944369,9,838417,,72,1701498,1120338,180218,321288,79654,,2497490,,1517490,,258000,,602000,,120000,,,7,5,,10083,5549,,49927,41242,3,39705,34103,3,44579,37955,1,55490,47503,5,70144,60443,3,76078,66036,6,80382,70587,8,91367,80917,2,91892,83376,3,95845,88768,8,85240,79761,8,59082,55354,5,48727,45400,6,29707,27267,3,16114,14151,8
2021-08-02,2634,947003,2974,841391,2,74,1706259,1123822,180321,321628,80488,,2565350,67860,1585350,,258000,,602000,,120000,,,7,5,,10241,5720,,50237,41607,3,39896,34320,3,44769,38162,1,55732,47760,5,70407,60734,3,76315,66308,6,80623,70843,8,91579,81165,3,92066,83594,4,96013,88941,8,85354,79886,8,59150,55417,5,48766,45456,6,29727,27300,3,16121,14173,8
2021-08-03,3727,950730,2714,844105,1,75,1711871,1128349,180510,321714,81298,,2565350,,1585350,,258000,,602000,,120000,,,7,5,,10499,5860,1,50697,41927,3,40181,34509,3,45057,38360,1,56055,47982,5,70785,60982,3,76681,66529,6,80909,71065,8,91876,81393,3,92299,83802,4,96202,89102,8,85504,80014,8,59253,55495,5,48838,45522,6,29753,27352,3,16134,14206,8
2021-08-04,4134,954864,4996,849101,2,77,1719946,1134437,181118,322057,82334,,2565350,,1585350,,258000,,602000,,120000,,,7,5,,10816,6095,1,51135,42439,3,40488,34815,3,45328,38685,1,56382,48379,5,71165,61457,3,77068,67063,7,81270,71469,8,92189,81817,3,92609,84206,5,96457,89433,8,85697,80300,8,59374,55642,5,48930,45621,6,29799,27423,3,16150,14252,8
2021-08-05,4819,959683,6289,855390,5,82,1729732,1142072,181384,322653,83623,,2565350,,1585350,,258000,,602000,,120000,,,7,5,,11101,6386,1,51679,43044,3,40814,35211,3,45701,39080,1,56784,48870,5,71624,62037,3,77509,67684,7,81682,71973,8,92631,82357,4,92929,84668,6,96753,89834,9,85912,80589,8,59503,55828,6,49018,45798,6,29853,27590,4,16183,14436,8
2021-08-06,3199,962882,5396,860786,3,85,1737590,1148599,181800,322856,84335,,2584550,,1585350,12000,270000,7200,609200,,120000,,,7,5,,11320,6615,1,52000,43575,3,41033,35529,3,45933,39470,2,57056,49298,5,71922,62550,4,77791,68189,7,81951,72450,8,92899,82868,5,93161,85060,6,96949,90221,9,86073,80844,8,59610,56003,6,49090,45929,6,29890,27685,4,16197,14495,8
2021-08-07,658,963540,483,861269,2,87,1738524,1149195,181928,322864,84537,,2584550,,1585350,,270000,,609200,,120000,,,7,5,,11337,6620,1,52077,43623,3,41090,35565,4,45991,39522,2,57124,49360,5,71998,62614,4,77858,68244,7,82016,72508,8,92949,82905,6,93199,85090,6,96978,90233,9,86101,80858,8,59621,56007,6,49101,45934,6,29896,27686,4,16197,14495,8
2021-08-08,386,963926,158,861427,,87,1739028,1149662,181928,322864,84574,,2584550,,1585350,,270000,,609200,,120000,,,7,5,,11377,6627,1,52136,43637,3,41118,35578,4,46033,39536,2,57167,49381,5,72036,62636,4,77890,68262,7,82053,72520,8,92975,82918,6,93210,85098,6,96990,90240,9,86107,80860,8,59626,56009,6,49103,45938,6,29901,27687,4,16197,14495,8
2021-08-09,2198,966124,2311,863738,,87,1742944,1152522,182244,323025,85153,,2652410,67860,1653210,,270000,,609200,,120000,,,7,5,,11595,6736,1,52425,43909,3,41279,35725,4,46169,39704,2,57328,49576,5,72251,62875,4,78073,68518,7,82227,72701,8,93152,83111,6,93365,85239,6,97126,90387,9,86199,80953,8,59672,56075,6,49141,45991,6,29914,27713,4,16201,14520,8
2021-08-10,2676,968800,2856,866594,,87,1747833,1156642,182308,323104,85779,,2652410,,1653210,,270000,,609200,,120000,,,7,5,,11777,6918,1,52774,44266,3,41456,35943,4,46384,39917,2,57576,49836,5,72513,63159,4,78321,68757,7,82430,72959,8,93359,83341,6,93535,85430,6,97268,90538,9,86310,81041,8,59750,56149,6,49188,46050,6,29934,27749,4,16218,14536,8
2021-08-11,3397,972197,4231,870825,6,93,1754538,1162112,182475,323255,86696,,2664410,,1653210,12000,282000,,609200,,120000,,,7,5,,12073,7195,1,53200,44724,4,41685,36242,4,46631,40218,3,57853,50142,6,72805,63545,4,78620,69183,8,82666,73291,8,93638,83690,6,93765,85723,6,97479,90820,10,86469,81243,8,59847,56300,6,49235,46124,6,29985,27805,4,16239,14575,9
2021-08-12,3906,976103,6267,877092,3,96,1763863,1170073,182712,323563,87515,,2671610,,1653210,,282000,7200,616400,,120000,,,7,6,,12419,7608,1,53673,45487,4,41949,36646,4,46924,40611,4,58147,50622,6,73148,64093,4,79018,69773,9,82985,73792,8,93928,84229,6,94007,86182,6,97688,91218,10,86633,81519,9,59975,56505,6,49309,46287,6,30033,27881,4,16260,14633,9
2021-08-13,3256,979359,5373,882465,2,98,1771553,1176169,183190,323763,88431,,2671610,,1653210,,282000,,616400,,120000,,,7,6,,12601,7870,1,54077,46127,4,42178,36982,4,47165,41028,4,58446,51085,6,73468,64578,4,79308,70258,9,83307,74267,9,94188,84672,7,94196,86556,6,97865,91533,10,86759,81764,9,60067,56674,6,49363,46432,6,30078,27965,4,16286,14668,9
2021-08-14,472,979831,453,882918,,98,1772247,1176628,183193,323766,88660,,2671610,,1653210,,282000,,616400,,120000,,,7,6,,12623,7872,1,54138,46174,4,42215,37032,4,47199,41067,4,58509,51125,6,73514,64636,4,79355,70308,9,83353,74313,9,94220,84712,7,94220,86593,6,97884,91549,10,86776,81780,9,60072,56677,6,49371,46437,6,30085,27969,4,16290,14668,9
2021-08-15,67,979898,39,882957,,98,1772324,1176676,183194,323767,88687,,2671610,,1653210,,282000,,616400,,120000,,,7,6,,12629,7872,1,54147,46178,4,42215,37033,4,47200,41069,4,58513,51127,6,73522,64643,4,79362,70314,9,83359,74316,9,94226,84717,7,94230,86600,6,97891,91551,10,86777,81780,9,60074,56677,6,49371,46437,6,30085,27969,4,16290,14668,9
