id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
solčava,ce,SI-180,Solčava,524,145,0.2767175572519084,55,0.1049618320610687
središče_ob_dravi,mb,SI-202,Središče ob Dravi,1921,385,0.20041644976574702,188,0.09786569495054659
starše,mb,SI-115,Starše,4034,746,0.1849281110560238,361,0.0894893406048587
straža,nm,SI-203,Straža,3910,722,0.1846547314578005,356,0.09104859335038364
sveta_ana,mb,SI-181,Sveta Ana,2298,289,0.1257615317667537,124,0.053959965187119235
sveta_trojica_v_slovenskih_goricah,mb,SI-204,Sveta Trojica v Slov. goricah,2161,332,0.15363257751041184,162,0.07496529384544193
sveti_andraž_v_slovenskih_goricah,mb,SI-182,Sveti Andraž v Slov. goricah,1184,153,0.12922297297297297,61,0.05152027027027027
sveti_jurij_ob_ščavnici,ms,SI-116,Sveti Jurij ob Ščavnici,2789,371,0.1330225887414844,179,0.06418070993187522
sveti_jurij_v_slovenskih_goricah,mb,SI-210,Sveti Jurij v Slov. goricah,2096,345,0.16459923664122136,162,0.07729007633587787
sveti_tomaž,mb,SI-205,Sveti Tomaž,2007,278,0.13851519681116092,152,0.07573492775286497
šalovci,ms,SI-033,Šalovci,1381,247,0.1788559015206372,105,0.07603186097031137
šempeter-vrtojba,ng,SI-183,Šempeter - Vrtojba,6245,1554,0.2488390712570056,734,0.11753402722177742
šenčur,kr,SI-117,Šenčur,8797,1781,0.2024553825167671,874,0.09935205183585313
šentilj,mb,SI-118,Šentilj,8324,1154,0.13863527150408458,551,0.06619413743392599
šentjernej,nm,SI-119,Šentjernej,7216,1258,0.1743348115299335,548,0.07594235033259424
šentjur,ce,SI-120,Šentjur,19333,3649,0.18874463352816429,1719,0.08891532612631252
šentrupert,nm,SI-211,Šentrupert,2983,403,0.13509889373114314,192,0.0643647334897754
škocjan,nm,SI-121,Škocjan,3410,394,0.1155425219941349,157,0.046041055718475075
škofja_loka,kr,SI-122,Škofja Loka,23336,4773,0.20453376756942063,2623,0.11240143983544738
škofljica,lj,SI-123,Škofljica,11692,2325,0.19885391720834758,1201,0.10271980841601094
šmarje_pri_jelšah,ce,SI-124,Šmarje pri Jelšah,10243,1870,0.18256370204041786,950,0.09274626574245827
šmarješke_toplice,nm,SI-206,Šmarješke Toplice,3507,555,0.15825491873396064,242,0.06900484744796122
šmartno_ob_paki,ce,SI-125,Šmartno ob Paki,3291,865,0.2628380431479793,469,0.14250987541780613
šmartno_pri_litiji,lj,SI-194,Šmartno pri Litiji,5672,1041,0.18353314527503525,517,0.09114950634696756
šoštanj,ce,SI-126,Šoštanj,8870,1992,0.2245772266065389,1088,0.12266065388951522
štore,ce,SI-127,Štore,4511,701,0.15539791620483262,376,0.08335180669474618
tabor,ce,SI-184,Tabor,1667,341,0.20455908818236354,171,0.10257948410317937
tišina,ms,SI-010,Tišina,3953,703,0.17783961548191246,296,0.07487983809764735
tolmin,ng,SI-128,Tolmin,10997,2632,0.23933800127307447,1664,0.15131399472583432
trbovlje,za,SI-129,Trbovlje,16014,4131,0.25796178343949044,2048,0.12788809791432496
trebnje,nm,SI-130,Trebnje,13262,2057,0.15510481073744534,938,0.07072839692354095
trnovska_vas,mb,SI-185,Trnovska vas,1368,154,0.11257309941520467,78,0.05701754385964912
trzin,lj,SI-186,Trzin,3929,947,0.2410282514634767,488,0.12420463222193942
tržič,kr,SI-131,Tržič,15003,3452,0.2300873158701593,1789,0.11924281810304606
turnišče,ms,SI-132,Turnišče,3193,558,0.17475728155339806,253,0.07923582837456937
velenje,ce,SI-133,Velenje,33638,7985,0.23738034365895713,4276,0.12711814019858494
velika_polana,ms,SI-187,Velika Polana,1391,233,0.16750539180445723,93,0.06685837526959022
