id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
slovenska_bistrica,mb,SI-113,Slovenska Bistrica,25949,10595,0.4083,9426,0.36325
slovenske_konjice,ce,SI-114,Slovenske Konjice,15263,6149,0.40287,5467,0.35819
sodražica,nm,SI-179,Sodražica,2249,1109,0.49311,945,0.42019
solčava,ce,SI-180,Solčava,529,265,0.50095,245,0.46314
središče_ob_dravi,mb,SI-202,Središče ob Dravi,1919,881,0.45909,825,0.42991
starše,mb,SI-115,Starše,4081,1773,0.43445,1612,0.395
straža,nm,SI-203,Straža,3881,1752,0.45143,1560,0.40196
sveta_ana,mb,SI-181,Sveta Ana,2193,791,0.36069,679,0.30962
sveta_trojica_v_slovenskih_goricah,mb,SI-204,Sveta Trojica v Slov. goricah,2323,786,0.33836,692,0.29789
sveti_andraž_v_slovenskih_goricah,mb,SI-182,Sveti Andraž v Slov. goricah,1203,400,0.3325,347,0.28845
sveti_jurij_ob_ščavnici,ms,SI-116,Sveti Jurij ob Ščavnici,2834,1012,0.35709,893,0.3151
sveti_jurij_v_slovenskih_goricah,mb,SI-210,Sveti Jurij v Slov. goricah,2114,844,0.39924,737,0.34863
sveti_tomaž,mb,SI-205,Sveti Tomaž,2007,751,0.37419,660,0.32885
šalovci,ms,SI-033,Šalovci,1388,669,0.48199,580,0.41787
šempeter-vrtojba,ng,SI-183,Šempeter - Vrtojba,6292,3087,0.49062,2850,0.45296
šenčur,kr,SI-117,Šenčur,8829,4132,0.468,3756,0.42542
šentilj,mb,SI-118,Šentilj,8375,2992,0.35725,2703,0.32275
šentjernej,nm,SI-119,Šentjernej,7225,3064,0.42408,2729,0.37772
šentjur,ce,SI-120,Šentjur,19378,8244,0.42543,7282,0.37579
šentrupert,nm,SI-211,Šentrupert,2898,1066,0.36784,923,0.3185
škocjan,nm,SI-121,Škocjan,3429,1180,0.34412,1041,0.30359
škofja_loka,kr,SI-122,Škofja Loka,23462,10964,0.46731,9757,0.41586
škofljica,lj,SI-123,Škofljica,11657,5345,0.45852,4701,0.40328
šmarje_pri_jelšah,ce,SI-124,Šmarje pri Jelšah,10375,4231,0.40781,3671,0.35383
šmarješke_toplice,nm,SI-206,Šmarješke Toplice,3521,1370,0.38909,1217,0.34564
šmartno_ob_paki,ce,SI-125,Šmartno ob Paki,3278,1722,0.52532,1591,0.48536
šmartno_pri_litiji,lj,SI-194,Šmartno pri Litiji,5661,2682,0.47377,2337,0.41282
šoštanj,ce,SI-126,Šoštanj,8847,4248,0.48016,3834,0.43337
štore,ce,SI-127,Štore,4477,1743,0.38932,1550,0.34621
tabor,ce,SI-184,Tabor,1670,824,0.49341,726,0.43473
tišina,ms,SI-010,Tišina,3965,1778,0.44842,1556,0.39243
tolmin,ng,SI-128,Tolmin,11018,5128,0.46542,4592,0.41677
trbovlje,za,SI-129,Trbovlje,16024,8146,0.50836,7397,0.46162
trebnje,nm,SI-130,Trebnje,13310,5836,0.43847,5131,0.3855
trnovska_vas,mb,SI-185,Trnovska vas,1374,458,0.33333,393,0.28603
trzin,lj,SI-186,Trzin,3925,2035,0.51847,1871,0.47669
tržič,kr,SI-131,Tržič,15054,7208,0.47881,6344,0.42142
turnišče,ms,SI-132,Turnišče,3190,1570,0.49216,1405,0.44044
velenje,ce,SI-133,Velenje,33715,15866,0.47059,14656,0.4347
velika_polana,ms,SI-187,Velika Polana,1380,642,0.46522,551,0.39928
velike_lašče,lj,SI-134,Velike Lašče,4520,2182,0.48274,1890,0.41814
veržej,ms,SI-188,Veržej,1344,616,0.45833,564,0.41964
videm,mb,SI-135,Videm,5684,2148,0.3779,1856,0.32653
vipava,ng,SI-136,Vipava,5767,2995,0.51933,2717,0.47113
vitanje,ce,SI-137,Vitanje,2267,830,0.36612,733,0.32333
vodice,lj,SI-138,Vodice,4983,2397,0.48104,2102,0.42183
vojnik,ce,SI-139,Vojnik,9009,3744,0.41558,3300,0.3663
vransko,ce,SI-189,Vransko,2646,1340,0.50642,1199,0.45314
vrhnika,lj,SI-140,Vrhnika,17613,8412,0.4776,7597,0.43133
vuzenica,sg,SI-141,Vuzenica,2649,1115,0.42091,1022,0.38581
zagorje_ob_savi,za,SI-142,Zagorje ob Savi,16379,8189,0.49997,7194,0.43922
zavrč,mb,SI-143,Zavrč,1527,555,0.36346,462,0.30255
zreče,ce,SI-144,Zreče,6600,2701,0.40924,2390,0.36212
žalec,ce,SI-190,Žalec,21528,10340,0.4803,9240,0.42921
železniki,kr,SI-146,Železniki,6699,3083,0.46022,2612,0.38991
žetale,mb,SI-191,Žetale,1303,470,0.36071,392,0.30084
žiri,kr,SI-147,Žiri,4981,2429,0.48765,2171,0.43586
žirovnica,kr,SI-192,Žirovnica,4465,2338,0.52363,2036,0.45599
žužemberk,nm,SI-193,Žužemberk,4741,2015,0.42502,1826,0.38515
