sewage.date,sewage.station,sewage.genome,sewage.ratio,sewage.region
2022-11-13,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9708,kp
2022-11-13,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.0036,kp
2022-11-13,ČN Koper,Drugo,0.0022,kp
2022-11-13,ČN Koper,Omikron,0.0235,kp
2022-11-13,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.001,kr
2022-11-14,CČN Litija in Šmartno pri Litiji,BA.2.75* [Omikron (BA.2.75.X)],0.1119,za
2022-11-14,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.86,za
2022-11-14,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.0018,za
2022-11-14,CČN Litija in Šmartno pri Litiji,Drugo,0.0039,za
2022-11-14,CČN Litija in Šmartno pri Litiji,Omikron,0.0204,za
2022-11-14,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9901,sg
2022-11-14,CČN Slovenj Gradec,Omikron,0.0099,sg
2022-11-14,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9359,za
2022-11-14,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.0333,za
2022-11-14,CČN Trbovlje,Drugo,0.0019,za
2022-11-14,CČN Trbovlje,Omikron,0.0252,za
2022-11-20,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.5107,lj
2022-11-20,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.4301,lj
2022-11-20,CČN Ljubljana,Drugo,0.0014,lj
2022-11-20,CČN Ljubljana,Omikron,0.0555,lj
2022-11-20,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.7143,po
2022-11-20,CČN Postojna,BQ.1* [Omikron (BQ.1.X)],0.2857,po
2022-11-20,ČN Koper,BA.2.75* [Omikron (BA.2.75.X)],0.0095,kp
2022-11-20,ČN Koper,BA.5* [Omikron (BA.5.X)],0.2112,kp
2022-11-20,ČN Koper,BQ.1* [Omikron (BQ.1.X)],0.6707,kp
2022-11-20,ČN Koper,Drugo,0.0014,kp
2022-11-20,ČN Koper,Omikron,0.1051,kp
2022-11-20,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.5711,kr
2022-11-20,ČN Kranj,BQ.1* [Omikron (BQ.1.X)],0.4219,kr
2022-11-20,ČN Kranj,Drugo,0.0023,kr
2022-11-20,ČN Kranj,Omikron,0.0046,kr
2022-11-20,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.7011,mb
2022-11-20,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.2989,mb
2022-11-20,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.6791,ng
2022-11-20,ČN Nova Gorica,BQ.1* [Omikron (BQ.1.X)],0.302,ng
2022-11-20,ČN Nova Gorica,Drugo,0.0016,ng
2022-11-20,ČN Nova Gorica,Omikron,0.0162,ng
2022-11-21,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9931,kk
2022-11-21,CČN Brežice,BQ.1* [Omikron (BQ.1.X)],0.0065,kk
2022-11-21,CČN Litija in Šmartno pri Litiji,BA.5* [Omikron (BA.5.X)],0.4693,za
2022-11-21,CČN Litija in Šmartno pri Litiji,BQ.1* [Omikron (BQ.1.X)],0.5307,za
2022-11-21,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.6168,ms
2022-11-21,CČN Murska Sobota,BQ.1* [Omikron (BQ.1.X)],0.3488,ms
2022-11-21,CČN Murska Sobota,Drugo,0.0221,ms
2022-11-21,CČN Murska Sobota,Omikron,0.0112,ms
2022-11-21,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9355,sg
2022-11-21,CČN Slovenj Gradec,BQ.1* [Omikron (BQ.1.X)],0.0645,sg
2022-11-21,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.7048,za
2022-11-21,CČN Trbovlje,BQ.1* [Omikron (BQ.1.X)],0.293,za
2022-11-21,CČN Trbovlje,Drugo,0.0023,za
2022-11-21,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.7221,za
2022-11-21,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.0072,za
2022-11-21,CČN Zagorje,Drugo,0.0033,za
2022-11-21,CČN Zagorje,Omikron,0.2673,za
2022-11-21,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.7187,ce
2022-11-21,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.2812,ce
2022-11-21,ČN Celje,BA.5* [Omikron (BA.5.X)],0.8968,ce
2022-11-21,ČN Celje,BQ.1* [Omikron (BQ.1.X)],0.0037,ce
2022-11-21,ČN Celje,Drugo,0.0018,ce
2022-11-21,ČN Celje,Omikron,0.0977,ce
2022-11-21,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.2878,nm
2022-11-21,ČN Novo mesto,BQ.1* [Omikron (BQ.1.X)],0.6522,nm
2022-11-21,ČN Novo mesto,Omikron,0.06,nm
