date,region.ce.cases.active,region.ce.cases.confirmed.todate,region.ce.deceased.todate,region.ce.vaccinated.1st.todate,region.ce.vaccinated.2nd.todate,region.ce.vaccinated.3rd.todate,region.foreign.cases.active,region.foreign.cases.confirmed.todate,region.foreign.deceased.todate,region.kk.cases.active,region.kk.cases.confirmed.todate,region.kk.deceased.todate,region.kk.vaccinated.1st.todate,region.kk.vaccinated.2nd.todate,region.kk.vaccinated.3rd.todate,region.kp.cases.active,region.kp.cases.confirmed.todate,region.kp.deceased.todate,region.kp.vaccinated.1st.todate,region.kp.vaccinated.2nd.todate,region.kp.vaccinated.3rd.todate,region.kr.cases.active,region.kr.cases.confirmed.todate,region.kr.deceased.todate,region.kr.vaccinated.1st.todate,region.kr.vaccinated.2nd.todate,region.kr.vaccinated.3rd.todate,region.lj.cases.active,region.lj.cases.confirmed.todate,region.lj.deceased.todate,region.lj.vaccinated.1st.todate,region.lj.vaccinated.2nd.todate,region.lj.vaccinated.3rd.todate,region.mb.cases.active,region.mb.cases.confirmed.todate,region.mb.deceased.todate,region.mb.vaccinated.1st.todate,region.mb.vaccinated.2nd.todate,region.mb.vaccinated.3rd.todate,region.ms.cases.active,region.ms.cases.confirmed.todate,region.ms.deceased.todate,region.ms.vaccinated.1st.todate,region.ms.vaccinated.2nd.todate,region.ms.vaccinated.3rd.todate,region.ng.cases.active,region.ng.cases.confirmed.todate,region.ng.deceased.todate,region.ng.vaccinated.1st.todate,region.ng.vaccinated.2nd.todate,region.ng.vaccinated.3rd.todate,region.nm.cases.active,region.nm.cases.confirmed.todate,region.nm.deceased.todate,region.nm.vaccinated.1st.todate,region.nm.vaccinated.2nd.todate,region.nm.vaccinated.3rd.todate,region.po.cases.active,region.po.cases.confirmed.todate,region.po.deceased.todate,region.po.vaccinated.1st.todate,region.po.vaccinated.2nd.todate,region.po.vaccinated.3rd.todate,region.sg.cases.active,region.sg.cases.confirmed.todate,region.sg.deceased.todate,region.sg.vaccinated.1st.todate,region.sg.vaccinated.2nd.todate,region.sg.vaccinated.3rd.todate,region.unknown.cases.active,region.unknown.cases.confirmed.todate,region.unknown.deceased.todate,region.za.cases.active,region.za.cases.confirmed.todate,region.za.deceased.todate,region.za.vaccinated.1st.todate,region.za.vaccinated.2nd.todate,region.za.vaccinated.3rd.todate
2021-08-10,148,34397,582,112816,100894,7,21,904,1,67,10186,203,32846,28229,3,162,11767,176,51414,46365,2,181,27285,412,98130,88481,2,564,64431,953,272106,244120,27,245,38858,936,138866,124631,12,59,16082,456,51923,45907,21,78,12726,279,56140,50544,4,124,20129,334,64524,57027,1,30,6300,107,25221,22064,2,16,9669,216,33526,30570,2,21,913,1,39,7054,121,27973,24951,4
2021-08-11,161,34414,582,113377,101535,8,24,910,1,67,10194,203,32987,28337,3,179,11799,176,51518,46469,2,195,27308,412,98542,89020,2,607,64502,953,273107,245176,29,283,38906,936,139289,125308,14,66,16092,456,52102,46140,21,83,12732,279,56194,50663,4,125,20142,334,64660,57242,1,34,6304,107,25394,22438,2,20,9673,216,33677,30664,3,19,915,1,43,7060,121,28010,24990,4
2021-08-12,170,34429,582,113890,102365,10,26,912,1,69,10200,203,33156,28613,3,185,11812,176,51808,47128,2,194,27323,412,99276,89961,3,632,64562,953,273874,246429,29,304,38944,936,139743,125939,14,70,16099,456,52358,46465,21,86,12741,279,56347,51060,4,123,20154,334,64911,57636,1,38,6309,107,25457,22555,2,24,9679,216,33744,30926,3,22,923,1,45,7063,121,28168,25133,4
2021-08-13,195,34464,582,114341,103090,10,29,915,1,73,10209,203,33272,28763,3,217,11851,176,51993,47354,2,207,27350,412,99454,90137,3,660,64634,953,274572,247349,29,318,38980,936,140313,127144,16,70,16107,456,52562,46938,21,81,12744,279,56562,51500,4,124,20167,334,65126,58055,1,41,6314,107,25601,22702,2,29,9684,216,33841,31185,3,22,924,1,51,7071,121,28320,25316,4
2021-08-14,197,34469,582,114364,103113,10,33,920,1,80,10218,203,33285,28770,3,216,11851,176,51997,47356,2,203,27354,412,99460,90151,3,664,64659,953,274696,247483,29,334,39006,936,140527,127301,16,70,16108,456,52599,46958,21,89,12757,279,56598,51574,4,122,20170,334,65130,58060,1,42,6316,107,25601,22705,2,31,9686,216,33845,31189,3,23,925,1,52,7072,121,28323,25320,4
2021-08-15,203,34475,582,114374,103119,10,33,920,1,80,10219,203,33285,28770,3,216,11851,176,51997,47356,2,209,27361,412,99478,90164,3,669,64679,953,274707,247487,29,339,39020,936,140544,127309,16,68,16110,456,52599,46958,21,90,12758,279,56599,51575,4,124,20173,334,65138,58065,1,43,6317,107,25602,22706,2,33,9688,216,33845,31189,3,23,925,1,52,7072,121,28323,25320,4
2021-08-16,230,34515,582,115017,103724,11,31,925,1,88,10232,203,33343,28830,4,232,11884,176,52019,47393,3,222,27391,412,99551,90239,3,669,64741,953,275520,248407,34,383,39078,936,141047,127829,19,62,16113,456,52819,47309,21,99,12775,279,56727,51849,4,142,20201,334,65414,58274,1,48,6333,107,25636,22768,2,34,9691,216,33863,31211,3,28,931,1,51,7076,121,28350,25362,5
2021-08-17,252,34551,582,115199,103900,11,31,925,1,105,10252,203,33491,28905,4,251,11920,176,52395,47605,3,271,27453,412,99882,90626,3,725,64847,954,276659,249571,34,407,39126,936,141594,128285,19,62,16116,457,53046,47588,21,123,12799,279,56865,52405,4,155,20225,334,65499,58380,1,51,6338,107,25697,22802,2,44,9701,216,34007,31410,3,30,933,1,60,7087,121,28465,25453,5
2021-08-18,279,34593,583,115729,104306,11,33,928,1,116,10269,204,33656,29154,4,284,11976,176,52547,47692,3,291,27483,412,100128,91112,3,756,64917,955,277966,250772,37,447,39185,937,142083,128997,19,64,16126,457,53295,47918,22,150,12830,279,57074,52566,4,173,20250,334,65706,58694,1,59,6351,107,25876,22959,3,55,9712,216,34225,31618,4,32,935,1,71,7100,121,28516,25565,5
2021-08-19,296,34624,583,116225,105184,13,33,933,1,125,10283,204,33805,29325,5,302,12006,176,52841,48209,3,299,27508,412,101270,92201,4,809,65008,955,278703,251861,37,482,39239,937,142638,129582,20,64,16131,457,53527,48249,22,164,12854,279,57295,52701,4,190,20277,334,65880,59131,1,66,6358,107,25932,23049,3,67,9725,216,34308,31771,4,33,936,1,72,7108,121,28640,25790,7
2021-08-20,337,34679,583,116726,105939,13,31,934,1,132,10293,204,33955,29495,6,313,12042,176,53098,48460,3,321,27543,412,101376,92293,5,893,65126,955,279392,252733,38,532,39306,937,143265,130611,21,62,16134,457,53742,48536,23,166,12856,279,57775,53104,4,195,20292,334,66130,59374,2,78,6372,107,26062,23184,3,84,9742,216,34439,31958,4,32,940,1,80,7119,121,28792,25987,7
2021-08-21,343,34690,584,116805,106008,13,32,935,1,132,10295,204,33972,29508,6,319,12049,176,53102,48462,3,322,27550,413,101382,92311,5,946,65193,955,279484,252855,38,570,39366,937,143429,130731,21,65,16140,457,53773,48554,23,220,12917,279,57809,53144,4,207,20307,334,66239,59498,2,80,6374,107,26066,23185,3,85,9744,216,34441,31959,4,34,943,1,80,7121,121,28803,26015,7
2021-08-22,351,34698,584,116806,106009,13,33,936,1,135,10298,204,33972,29508,6,320,12052,176,53102,48462,3,323,27556,413,101382,92311,5,957,65225,955,279484,252855,38,606,39410,937,143430,130732,21,69,16148,457,53773,48554,23,222,12919,279,57809,53144,4,206,20309,334,66239,59498,2,80,6374,108,26066,23185,3,89,9749,216,34441,31959,4,37,946,1,78,7121,121,28803,26015,7
2021-08-23,380,34752,584,117313,106554,13,35,938,1,140,10314,204,34033,29555,6,346,12095,176,53117,48486,4,341,27599,413,101450,92416,5,990,65323,958,280175,253551,39,660,39490,937,143876,131140,22,86,16166,457,53964,48839,23,246,12965,279,57982,53391,4,230,20341,334,66486,59686,6,87,6387,108,26091,23228,4,100,9763,216,34455,31993,5,38,950,1,84,7134,121,28846,26061,7
2021-08-24,411,34808,584,117776,106956,13,34,938,1,146,10332,204,34164,29666,7,381,12148,176,53406,48675,4,376,27661,413,101546,92659,5,1055,65486,958,281491,254903,42,695,39553,938,144470,131680,22,94,16176,457,54151,49033,24,252,12978,279,58197,53563,4,241,20370,334,66587,59797,6,104,6404,108,26143,23269,6,102,9771,216,34534,32165,5,40,953,1,94,7148,121,28940,26146,7
2021-08-25,434,34848,584,118220,107335,16,29,939,1,142,10336,204,34304,29803,8,407,12206,176,53624,48804,5,395,27703,414,102010,93343,6,1114,65616,958,282685,256135,46,726,39632,938,145015,132339,26,107,16199,457,54318,49194,25,305,13037,279,58381,53611,4,268,20410,334,66697,59961,7,115,6419,108,26289,23459,6,99,9772,216,34690,32265,5,44,959,1,101,7161,121,29006,26207,7
2021-08-26,475,34904,585,118882,107842,16,32,944,1,145,10345,204,34432,30082,10,444,12256,176,53936,49338,6,431,27754,414,103061,94297,8,1204,65766,958,283691,257247,50,767,39711,938,145483,132822,28,111,16210,457,54510,49418,25,341,13082,279,58719,54178,4,286,20440,336,66973,60233,7,125,6434,108,26330,23533,6,115,9794,216,34889,32443,6,40,963,1,115,7178,121,29128,26291,7
2021-08-27,488,34952,586,119402,108449,17,30,945,1,149,10358,204,34548,30245,10,474,12325,176,54174,49540,7,456,27806,414,103164,94403,8,1275,65909,958,284552,258166,60,798,39778,938,146138,133630,29,129,16236,457,54689,49644,26,388,13132,279,58922,54486,6,308,20475,337,67188,60569,7,136,6450,108,26457,23646,6,114,9798,216,35053,32591,7,44,968,1,118,7189,121,29298,26594,9
2021-08-28,500,34969,586,119447,108480,17,25,945,1,143,10361,204,34577,30266,10,478,12329,176,54178,49546,7,472,27826,414,103186,94422,8,1334,65993,958,284780,258331,61,810,39816,938,146386,133810,29,145,16253,457,54719,49683,26,455,13212,279,58956,54524,6,312,20482,337,67253,60604,7,134,6450,108,26463,23652,6,113,9799,216,35064,32598,7,45,970,1,121,7193,121,29311,26613,9
2021-08-29,498,34973,586,119447,108480,17,26,946,1,142,10361,204,34577,30266,10,478,12329,176,54178,49546,7,480,27841,414,103219,94438,8,1366,66045,958,284781,258332,61,838,39858,938,146397,133816,29,159,16269,457,54719,49683,26,456,13214,279,58957,54524,6,313,20486,337,67253,60604,7,134,6451,108,26463,23652,6,112,9800,216,35065,32599,7,51,976,1,121,7193,121,29311,26613,9
2021-08-30,528,35043,586,119702,108674,18,22,947,1,146,10378,205,34663,30350,10,524,12408,176,54235,49591,8,528,27919,414,103278,94590,9,1437,66178,959,285675,259160,70,838,39916,938,146859,134188,30,168,16281,457,54887,49905,26,457,13232,279,59108,54623,6,320,20521,337,67482,60767,7,129,6462,108,26500,23718,7,122,9813,216,35155,32679,7,48,979,1,130,7206,121,29382,26663,9
2021-08-31,580,35131,586,120049,108977,19,22,947,1,140,10392,205,34722,30391,10,605,12525,176,54566,49807,8,529,27982,414,103354,94662,9,1538,66385,959,286783,260198,74,878,40004,940,147333,134562,32,181,16297,457,55025,50083,27,529,13328,279,59287,54690,7,342,20567,337,67586,60872,7,136,6474,108,26553,23770,7,119,9820,216,35221,32791,7,49,982,1,134,7221,121,29462,26728,9
2021-09-01,594,35187,586,120376,109311,21,20,948,1,139,10408,205,34849,30514,10,628,12604,176,54633,49863,9,577,28060,414,103903,95215,11,1631,66548,960,287620,261167,85,898,40083,940,147706,134936,35,192,16318,457,55168,50246,29,566,13396,279,59363,54739,8,365,20615,337,67672,60954,9,152,6503,108,26688,23928,8,115,9827,216,35366,32865,8,54,989,1,137,7237,121,29478,26755,9
2021-09-02,637,35261,586,120743,110006,24,17,950,1,138,10421,205,34992,30689,13,657,12663,176,54892,50303,12,616,28124,415,104703,96145,16,1720,66728,960,288454,262123,93,936,40175,940,148147,135345,39,197,16328,457,55323,50471,29,545,13399,279,59640,54947,9,389,20666,337,67992,61325,10,175,6533,108,26779,24013,8,120,9845,216,35459,33029,8,57,993,1,140,7248,121,29556,26923,9
2021-09-03,656,35335,587,121470,110580,25,16,950,1,137,10430,205,35105,30868,13,704,12746,176,55022,50531,14,647,28190,415,104852,96224,20,1793,66919,960,289250,262967,111,978,40284,940,148675,136059,41,208,16342,457,55517,50719,30,615,13471,279,59905,55150,11,439,20731,338,68178,61496,10,185,6557,108,26849,24123,10,118,9860,216,35589,33153,9,57,997,1,146,7265,121,29733,27074,9
2021-09-04,665,35355,587,121481,110590,25,15,950,1,137,10432,205,35127,30878,13,701,12750,176,55025,50536,14,669,28219,415,104874,96246,22,1818,67011,960,289466,263090,112,987,40353,940,148813,136143,43,219,16359,457,55518,50722,30,599,13516,279,59921,55176,11,435,20742,338,68182,61502,10,197,6571,108,26850,24124,10,122,9866,216,35590,33154,9,58,1001,1,149,7270,121,29737,27088,9
2021-09-05,671,35369,587,121481,110590,25,14,950,1,135,10433,205,35127,30878,13,701,12753,176,55025,50536,14,687,28243,415,104874,96246,22,1848,67073,960,289466,263090,112,1000,40410,940,148813,136143,43,231,16379,457,55518,50722,30,635,13554,279,59921,55176,11,436,20745,338,68182,61502,10,199,6573,108,26850,24124,10,128,9877,216,35590,33154,9,55,1001,1,150,7271,121,29737,27088,9
2021-09-06,746,35498,587,121923,110995,25,12,950,1,141,10455,205,35221,30925,14,746,12841,176,55037,50555,14,744,28343,415,104940,96351,28,1992,67315,962,290274,263801,136,1002,40492,941,149336,136539,43,231,16397,457,55714,50932,33,606,13571,279,60024,55333,12,494,20835,338,68431,61708,11,248,6635,108,26891,24228,12,134,9897,216,35638,33172,10,53,1003,1,146,7280,121,29772,27118,10
2021-09-07,803,35611,589,122284,111220,45,12,950,1,142,10474,205,35392,31079,45,807,12955,176,55391,50799,17,827,28488,417,105426,96667,39,2027,67513,962,291741,265010,186,1055,40608,941,150052,137006,124,248,16424,457,55939,51162,47,759,13737,279,60336,55530,17,558,20928,338,68581,61819,15,248,6652,108,26953,24277,13,159,9930,216,35715,33304,10,55,1008,1,181,7329,122,29930,27225,14
2021-09-08,900,35748,590,122906,111785,76,11,950,1,152,10488,205,35580,31197,55,838,13044,177,55628,50911,24,889,28592,417,105947,97090,165,2157,67773,962,293124,266248,274,1108,40740,941,150792,137627,297,248,16447,457,56219,51467,58,763,13800,279,60413,55739,22,604,21014,338,68842,62033,19,303,6722,108,27163,24474,28,180,9952,216,36006,33448,19,51,1010,1,185,7346,122,30012,27261,16
2021-09-09,981,35885,590,123785,112496,268,6,950,1,174,10519,205,35743,31347,65,860,13116,177,56054,51415,85,946,28700,417,107034,98188,410,2283,68049,963,294494,267337,521,1173,40884,942,151617,138258,411,270,16480,457,56544,51729,65,758,13840,280,60682,55897,33,660,21100,338,69362,62384,121,316,6750,108,27335,24575,42,180,9974,216,36207,33618,28,53,1016,1,184,7362,122,30148,27450,41
2021-09-10,1074,36026,591,124510,113102,328,5,950,1,208,10566,205,35892,31526,76,878,13203,177,56274,51626,127,1022,28828,418,107202,98437,512,2436,68345,963,295774,268316,713,1239,41017,944,152550,139200,544,261,16497,457,57016,52102,86,750,13882,281,61050,56175,53,736,21211,338,69540,62640,139,345,6795,108,27487,24711,58,189,9987,216,36472,33795,34,58,1026,1,191,7380,122,30421,27632,71
2021-09-11,1098,36067,591,124611,113176,411,6,951,1,211,10572,205,35939,31554,79,884,13213,177,56285,51635,127,1037,28863,418,107227,98452,512,2561,68554,963,296098,268508,725,1286,41102,944,152907,139405,547,269,16522,457,57020,52103,86,761,13973,281,61080,56206,53,755,21237,338,69794,62802,177,356,6806,108,27497,24720,58,200,9999,216,36476,33797,34,59,1029,1,192,7385,122,30429,27641,165
2021-09-12,1112,36085,591,124612,113177,411,5,951,1,215,10576,205,35939,31554,79,887,13216,177,56285,51635,127,1032,28873,418,107227,98452,512,2595,68640,963,296098,268508,725,1349,41207,947,152907,139405,547,258,16527,457,57020,52103,86,797,14011,281,61080,56206,53,755,21241,338,69794,62802,177,358,6809,108,27497,24720,58,208,10008,216,36476,33797,34,53,1029,1,192,7385,122,30429,27641,165
2021-09-13,1241,36284,592,125681,113719,471,5,952,1,261,10639,205,36312,31745,94,930,13338,178,56399,51697,129,1085,29004,418,107485,98601,523,2794,68972,963,298010,269373,937,1467,41383,948,154329,140090,613,281,16562,458,57816,52623,113,839,14071,281,61249,56378,59,859,21380,338,70152,63018,194,414,6876,108,27620,24786,59,223,10036,216,36612,33848,36,53,1032,1,217,7423,122,30521,27689,176
2021-09-14,1328,36459,593,126701,114120,582,6,953,1,289,10681,205,36796,31955,115,938,13463,178,57192,52055,211,1174,29156,419,108620,99177,569,2976,69361,963,301359,270840,1357,1509,41513,950,156653,141037,719,301,16598,458,58613,53066,177,850,14178,281,61886,56714,81,924,21491,338,71271,63484,256,434,6908,108,27787,24848,62,238,10058,216,36821,33981,44,53,1035,1,242,7463,123,30939,27857,200
2021-09-15,1480,36667,594,128495,115170,666,5,953,1,306,10714,205,37357,32201,152,990,13594,179,57803,52315,225,1207,29267,421,109674,99880,902,3118,69666,967,304036,272232,1665,1592,41675,950,158656,142164,903,322,16640,458,59433,53429,200,940,14336,281,62326,56880,165,973,21588,338,71944,63803,285,441,6944,108,28293,25029,87,254,10081,216,37582,34322,81,50,1039,1,243,7480,123,31329,27994,217
2021-09-16,1556,36817,595,130837,116555,826,3,953,1,315,10736,205,37770,32454,252,1028,13691,179,58489,52825,361,1266,29390,422,112065,101458,1403,3188,69916,967,306920,274086,2188,1683,41858,952,160835,143639,1078,345,16673,458,60163,53811,236,1060,14459,281,63294,57281,215,996,21662,338,72990,64373,387,439,6972,108,28656,25178,124,264,10109,216,38053,34700,253,56,1049,1,256,7504,123,31690,28241,288
2021-09-17,1629,36964,596,132583,117594,1163,3,953,1,343,10773,205,38227,32772,313,1069,13815,179,59142,53263,487,1343,29533,422,112561,101682,1644,3354,70273,969,309437,275554,2853,1760,42044,952,162907,145247,1247,361,16703,458,60967,54229,281,1031,14502,281,63843,57547,252,1017,21748,339,73620,64827,482,443,7000,109,29124,25498,161,274,10134,216,38664,34913,334,61,1058,1,277,7542,124,32240,28585,363
2021-09-18,1641,36996,596,133186,117703,1183,4,954,1,352,10784,205,38419,32869,324,1072,13822,179,59552,53388,543,1382,29601,422,113448,102109,1688,3433,70444,971,311100,276137,2972,1786,42139,952,163633,145554,1485,372,16731,458,61207,54271,298,1061,14577,282,64203,57606,289,1041,21783,339,74259,65156,514,430,7001,109,29231,25509,165,280,10146,216,38968,35035,350,60,1061,1,278,7548,124,32433,28672,378
2021-09-19,1633,37002,598,133428,117737,1233,6,956,1,354,10787,205,38473,32902,326,1069,13822,179,59653,53394,559,1378,29621,422,113657,102138,1699,3493,70566,972,311810,276423,3059,1836,42246,953,164074,145682,1548,367,16746,458,61381,54304,308,1025,14579,282,64473,57619,324,1043,21788,339,74569,65297,541,429,7002,109,29256,25513,167,276,10153,217,39046,35042,358,62,1063,1,277,7548,125,32508,28708,382
2021-09-20,1704,37202,599,134367,118098,1399,7,957,1,374,10829,205,38722,33023,366,1104,13945,179,59791,53448,587,1419,29762,422,114031,102288,1759,3550,70865,972,313192,277301,3386,1958,42450,954,164829,146069,1615,368,16765,458,61751,54493,362,1079,14650,283,64730,57743,346,1074,21909,339,74805,65449,567,405,7040,110,29341,25577,177,275,10172,217,39136,35100,393,62,1065,1,296,7576,126,32571,28757,403
2021-09-21,1763,37374,599,134956,118263,1682,7,957,1,383,10857,205,38861,33106,405,1104,14059,179,60155,53586,669,1382,29870,423,114385,102468,2064,3626,71139,975,314424,277972,3749,1998,42606,955,165623,146534,1723,381,16805,458,61942,54596,394,1041,14778,284,65206,58167,384,1060,21988,339,75202,65638,631,411,7063,111,29433,25653,197,271,10201,217,39186,35126,411,65,1073,1,277,7606,126,32733,28807,420
2021-09-22,1758,37506,600,135525,118555,1869,8,958,1,393,10881,205,39048,33283,452,1092,14136,179,60313,53662,695,1354,29946,423,114939,102807,2267,3622,71395,977,315530,278966,4314,2034,42774,955,166290,146904,1818,390,16837,458,62165,54748,460,1087,14887,284,65389,58322,504,1041,22055,340,75441,65792,652,359,7081,111,29601,25805,247,271,10223,217,39364,35186,443,73,1083,1,280,7626,126,32794,28838,445
2021-09-23,1730,37615,603,136364,119314,2123,8,958,1,404,10923,205,39209,33460,493,1088,14204,179,60854,54142,822,1326,30026,424,115853,103754,2737,3601,71650,978,316618,279924,4932,2068,42952,955,167275,147655,1898,380,16860,458,62497,55049,526,1087,14927,284,65748,58593,577,1035,22135,341,75992,66326,701,350,7100,111,29728,25891,274,273,10247,217,39504,35352,478,70,1086,1,284,7646,127,32899,29024,497
2021-09-24,1724,37750,604,137175,120075,2362,8,958,1,387,10953,206,39343,33647,541,1081,14284,181,61200,54346,931,1283,30111,424,116440,104277,2796,3533,71878,979,317994,281265,5374,2123,43140,956,168137,148726,2086,402,16899,458,62797,55324,570,1130,15012,284,66233,58991,702,1008,22219,341,76270,66580,759,322,7117,112,29878,26017,302,275,10262,218,39783,35536,519,64,1090,1,283,7663,127,33084,29190,548
2021-09-25,1718,37785,605,137287,120166,2380,7,958,1,392,10964,206,39383,33671,542,1078,14291,181,61268,54377,941,1286,30149,424,116465,104303,2801,3444,71998,982,318492,281706,5522,2145,43247,959,168317,148856,2180,407,16929,458,62804,55329,573,1084,15057,284,66261,59001,702,1024,22261,341,76286,66598,760,312,7118,112,29898,26028,302,265,10264,218,39985,35707,526,66,1095,1,282,7667,127,33097,29208,548
2021-09-26,1712,37797,606,137321,120196,2380,7,958,1,393,10969,206,39383,33671,542,1078,14294,182,61273,54383,941,1286,30159,425,116479,104315,2801,3449,72089,983,318795,281996,5535,2165,43372,961,168440,148938,2205,422,16949,458,62808,55333,573,1049,15060,285,66262,59002,702,1023,22264,341,76295,66608,760,309,7118,112,29904,26034,302,265,10273,218,39987,35710,526,68,1097,1,285,7670,127,33101,29212,548
2021-09-27,1669,37953,606,137798,120777,2470,6,958,1,365,11004,207,39531,33815,568,1070,14408,184,61327,54405,949,1244,30248,426,116533,104367,2840,3393,72365,985,319556,282773,5753,2143,43526,962,169037,149524,2279,419,16981,459,63068,55574,588,1011,15082,286,66431,59164,741,958,22338,344,76411,66734,780,263,7139,112,29961,26082,307,267,10303,218,40039,35762,531,69,1101,1,281,7704,128,33120,29253,553
2021-09-28,1704,38163,607,138333,121298,2569,5,958,1,365,11046,208,39630,33921,602,1048,14511,184,61698,54687,999,1193,30349,426,116791,104718,2881,3326,72687,985,320530,283770,6140,2148,43661,962,169633,150171,2442,423,17021,459,63213,55769,619,1072,15250,286,66622,59378,832,958,22449,344,76770,67112,852,266,7174,114,30070,26160,324,290,10348,218,40089,35808,532,72,1107,1,265,7728,128,33258,29386,576
2021-09-29,1627,38294,610,138638,121701,2737,8,961,1,373,11087,208,39715,34059,631,983,14577,184,61809,54745,1043,1195,30462,426,116966,104907,3602,3292,72958,987,321222,284947,6496,2184,43859,962,170045,150649,2556,418,17058,459,63328,55963,642,943,15279,287,66718,59557,996,933,22521,344,76882,67260,951,247,7191,114,30167,26349,348,296,10377,218,40194,35953,565,74,1113,2,263,7743,130,33300,29428,613
2021-09-30,1617,38434,610,138976,122538,2905,8,961,1,374,11110,208,39775,34229,653,957,14648,185,61986,55245,1137,1166,30556,428,117551,105601,3790,3263,73179,987,321684,285910,6819,2164,44022,962,170353,151097,2646,415,17088,459,63429,56190,691,928,15387,288,66817,59736,1048,931,22593,344,77100,67605,999,232,7204,115,30220,26467,378,295,10404,218,40271,36159,628,67,1116,2,247,7751,130,33343,29594,655
2021-10-01,1621,38585,611,139179,122980,3006,8,961,1,363,11136,208,39818,34349,682,921,14736,185,62094,55414,1204,1109,30642,429,117676,106091,3854,3191,73464,989,322103,286771,7129,2150,44194,963,170605,151909,2727,421,17124,459,63508,56476,760,909,15411,289,67008,60086,1219,904,22652,345,77158,67690,1024,227,7227,115,30256,26547,393,289,10423,218,40378,36374,688,65,1123,2,226,7768,132,33384,29767,695
2021-10-02,1614,38610,612,139229,123001,3016,7,961,1,357,11141,209,39828,34373,684,921,14743,185,62100,55418,1206,1079,30680,430,117688,106115,3856,3139,73583,991,322256,287045,7164,2182,44321,964,170649,151962,2848,435,17166,459,63511,56480,761,939,15516,289,67017,60102,1221,904,22687,345,77210,67768,1029,226,7227,115,30274,26554,396,296,10442,219,40388,36381,688,68,1129,2,225,7773,132,33386,29770,695
2021-10-03,1617,38619,612,139229,123002,3016,5,961,1,360,11147,209,39828,34373,684,921,14743,185,62100,55418,1206,1071,30692,431,117688,106115,3856,3081,73647,995,322256,287045,7164,2177,44423,965,170674,151981,2848,435,17181,460,63511,56480,761,938,15517,289,67017,60102,1221,902,22690,345,77210,67768,1029,226,7228,115,30274,26554,396,299,10452,219,40388,36381,688,67,1130,2,226,7774,132,33386,29770,695
2021-10-04,1607,38809,612,139415,123576,3097,4,961,1,349,11178,209,39861,34490,701,878,14823,185,62129,55473,1210,1032,30794,431,117724,106208,3891,3001,73866,997,322556,288174,7277,2083,44533,967,170844,152653,2877,451,17216,460,63562,56838,780,907,15557,289,67089,60246,1231,860,22769,345,77257,67980,1048,219,7259,116,30302,26609,407,318,10490,219,40408,36458,691,66,1131,2,222,7798,134,33409,29919,708
2021-10-05,1643,39017,612,139546,124328,3160,4,961,1,368,11225,209,39885,34631,711,863,14922,187,62240,55731,1236,1001,30871,431,117776,106395,3900,2990,74129,999,322948,289868,7397,2097,44703,969,171041,153913,2974,457,17262,460,63607,57221,793,889,15667,291,67145,60634,1250,881,22869,347,77376,68396,1085,222,7285,116,30346,26763,429,321,10522,220,40433,36536,696,64,1137,2,217,7823,134,33452,30083,725
2021-10-06,1654,39160,612,139688,125172,3250,3,961,1,374,11255,209,39927,34942,737,833,14969,187,62269,55800,1255,1014,30960,433,117924,106702,3974,3017,74412,1000,323343,291434,7669,2078,44852,969,171229,154985,3057,458,17295,460,63670,57712,816,831,15718,292,67201,60979,1269,881,22936,347,77425,68941,1096,228,7309,116,30404,27217,465,314,10537,220,40489,36757,751,60,1143,2,229,7855,134,33467,30233,738
2021-10-07,1651,39266,612,139886,126825,3406,3,961,1,363,11286,209,39979,35236,822,826,15030,188,62364,56749,1374,1012,31038,433,118251,108720,4153,2991,74641,1002,323667,293311,8036,2051,45003,969,171350,155723,3136,464,17324,460,63750,58173,846,825,15752,292,67283,61706,1348,856,22991,347,77596,69419,1172,226,7326,116,30429,27384,498,301,10548,220,40523,37169,777,64,1150,2,242,7888,134,33497,30509,786
2021-10-08,1628,39378,615,139997,127961,3466,3,961,1,358,11311,209,40012,35518,845,804,15088,189,62402,57044,1438,977,31088,433,118289,109180,4215,3001,74879,1004,323900,295064,8228,2030,45170,970,171548,157216,3307,458,17357,460,63819,58690,927,793,15805,292,67378,62188,1418,844,23063,347,77640,69986,1192,233,7350,117,30473,27649,531,309,10571,221,40593,37759,802,65,1155,2,248,7911,135,33544,30852,801
2021-10-09,1636,39421,616,140004,127995,3466,4,962,1,354,11318,209,40023,35557,848,803,15094,192,62404,57054,1438,976,31125,433,118299,109228,4215,2993,74991,1007,324022,295843,8276,2058,45305,971,171577,157412,3315,451,17380,460,63821,58694,927,819,15876,293,67387,62246,1419,816,23077,347,77669,70083,1202,240,7358,117,30476,27653,531,319,10583,221,40606,37872,803,65,1160,2,259,7926,135,33553,30891,823
2021-10-10,1634,39431,617,140005,127997,3467,4,962,1,356,11325,209,40028,35557,848,801,15095,193,62404,57056,1438,975,31134,433,118299,109228,4215,2953,75042,1008,324024,295858,8276,2004,45376,973,171590,157494,3320,449,17398,460,63821,58694,927,816,15876,293,67404,62351,1422,816,23080,348,77669,70083,1202,243,7361,117,30476,27655,531,322,10595,221,40606,37872,803,66,1163,2,256,7926,135,33553,30891,823
