id,region,name,name_alt,iso_code,population,area,pop_dens,geo-longitude,geo-latitude
mokronog-trebelno,nm,Mokronog - Trebelno,,SI-199,3164,73,42,15.157493729,45.915203426
moravče,lj,Moravče,,SI-077,5469,61,89,14.757655369,46.134474442
moravske_toplice,ms,Moravske Toplice,,SI-078,5958,145,40,16.270195522,46.709333510
mozirje,ce,Mozirje,,SI-079,4244,54,77,14.955361866,46.360501964
murska_sobota,ms,Murska Sobota,,SI-080,18622,64,293,16.154752751,46.648424887
muta,sg,Muta,,SI-081,3417,39,88,15.134928606,46.627517480
naklo,kr,Naklo,,SI-082,5431,28,192,14.296427544,46.291657971
nazarje,ce,Nazarje,,SI-083,2611,43,61,14.913023685,46.282658417
nova_gorica,ng,Nova Gorica,,SI-084,31845,280,114,13.740555016,45.980463716
novo_mesto,nm,Novo mesto,,SI-085,37398,236,159,15.193817917,45.780745423
odranci,ms,Odranci,,SI-086,1619,7,233,16.271277402,46.586018695
oplotnica,mb,Oplotnica,,SI-171,4154,33,125,15.448880217,46.385670011
ormož,mb,Ormož,,SI-087,11886,142,84,16.151447480,46.437670763
osilnica,nm,Osilnica,,SI-088,327,36,10,14.732017098,45.547252716
pesnica,mb,Pesnica,,SI-089,7508,76,98,15.709855677,46.619607740
piran,kp,Piran/Pirano,Piran,SI-090,18457,43,411,13.634397081,45.487837745
pivka,po,Pivka,,SI-091,6190,223,28,14.235617814,45.681692278
podčetrtek,ce,Podčetrtek,,SI-092,3614,61,56,15.585765881,46.143286942
podlehnik,mb,Podlehnik,,SI-172,1853,46,39,15.865331835,46.316227772
podvelka,sg,Podvelka,,SI-093,2365,104,22,15.359289214,46.594980542
poljčane,mb,Poljčane,,SI-200,4467,38,117,15.594968603,46.305123131
polzela,ce,Polzela,,SI-173,6321,34,184,15.084923264,46.303649953
postojna,po,Postojna,,SI-094,16675,270,61,14.169902936,45.789510854
prebold,ce,Prebold,,SI-174,5210,41,124,15.089648853,46.217725673
preddvor,kr,Preddvor,,SI-095,3780,87,43,14.464925305,46.324176452
prevalje,sg,Prevalje,,SI-175,6800,58,117,14.894901264,46.552425232
ptuj,mb,Ptuj,,SI-096,23611,67,351,15.874172451,46.441905207
puconci,ms,Puconci,,SI-097,5904,108,54,16.133818862,46.744481686
rače-fram,mb,Rače - Fram,,SI-098,7623,51,148,15.645638306,46.448777079
radeče,kk,Radeče,,SI-099,4164,52,80,15.144211752,46.059790291
radenci,ms,Radenci,,SI-100,5098,34,150,16.044248902,46.620001999
radlje_ob_dravi,sg,Radlje ob Dravi,,SI-101,6164,94,66,15.243558676,46.603706978
radovljica,kr,Radovljica,,SI-102,19195,119,160,14.202362633,46.337868847
ravne_na_koroškem,sg,Ravne na Koroškem,,SI-103,11289,63,180,14.961123813,46.545818495
razkrižje,ms,Razkrižje,,SI-176,1265,10,128,16.274047350,46.520479510
rečica_ob_savinji,ce,Rečica ob Savinji,,SI-209,2355,30,77,14.903123206,46.327997529
renče-vogrsko,ng,Renče - Vogrsko,,SI-201,4383,30,146,13.679890735,45.891052541
ribnica,nm,Ribnica,,SI-104,9644,154,62,14.718023843,45.732644358
ribnica_na_pohorju,sg,Ribnica na Pohorju,,SI-177,1142,59,19,15.260092333,46.523994226
rogaška_slatina,ce,Rogaška Slatina,,SI-106,11323,72,155,15.628431167,46.247844180
rogašovci,ms,Rogašovci,,SI-105,3114,40,76,16.026041666,46.799553730
rogatec,ce,Rogatec,,SI-107,3138,40,78,15.742049612,46.238576621
ruše,mb,Ruše,,SI-108,7055,61,115,15.487143153,46.516606885
selnica_ob_dravi,mb,Selnica ob Dravi,,SI-178,4562,65,69,16.261795032,46.833301511
semič,nm,Semič,,SI-109,3887,147,26,15.483333236,46.586364689
sevnica,kk,Sevnica,,SI-110,17639,272,65,15.144345427,45.651652622
sežana,kp,Sežana,,SI-111,13802,217,62,13.646740195,45.915421072
slovenj_gradec,sg,Slovenj Gradec,,SI-112,16595,174,95,14.426055100,46.235209436
slovenska_bistrica,mb,Slovenska Bistrica,,SI-113,25949,260,99,15.716028517,46.675848959
slovenske_konjice,ce,Slovenske Konjice,,SI-114,15263,98,153,15.332522249,45.826523575
sodražica,nm,Sodražica,,SI-179,2249,50,44,15.424175484,46.189604270
solčava,ce,Solčava,,SI-180,529,103,5,15.089576387,45.984281809
središče_ob_dravi,mb,Središče ob Dravi,,SI-202,1919,33,58,15.268862226,46.010184396
starše,mb,Starše,,SI-115,4081,34,119,13.881645376,45.736197465
straža,nm,Straža,,SI-203,3881,29,136,15.298342368,45.916704931
sveta_ana,mb,Sveta Ana,,SI-181,2323,37,62,14.276251787,46.161198393
sveta_trojica_v_slovenskih_goricah,mb,Sveta Trojica v Slov. goricah,Sveta Trojica v Slovenskih goricah,SI-204,2193,26,81,14.573597841,45.965773704
sveti_andraž_v_slovenskih_goricah,mb,Sveti Andraž v Slov. goricah,Sveti Andraž v Slovenskih goricah,SI-182,1203,18,66,15.078704914,46.489401806
sveti_jurij_ob_ščavnici,ms,Sveti Jurij ob Ščavnici,,SI-116,2834,51,55,15.533805348,46.414012499
sveti_jurij_v_slovenskih_goricah,mb,Sveti Jurij v Slov. goricah,Sveti Jurij v Slovenskih goricah,SI-210,2114,31,68,15.461174490,46.322680004
sveti_tomaž,mb,Sveti Tomaž,,SI-205,2007,38,52,15.519925590,46.214918670
šalovci,ms,Šalovci,,SI-033,1388,58,24,15.243473378,45.884137798
šempeter-vrtojba,ng,Šempeter - Vrtojba,,SI-183,6292,15,419,15.030606613,46.340317201
šenčur,kr,Šenčur,,SI-117,8829,40,220,14.844840933,46.022855344
šentilj,mb,Šentilj,,SI-118,8375,65,128,14.617933676,45.757554151
šentjernej,nm,Šentjernej,,SI-119,7225,96,75,14.658086338,46.405009963
šentjur,ce,Šentjur,,SI-120,19378,222,87,15.004920810,46.406121349
šentrupert,nm,Šentrupert,,SI-211,2898,49,61,16.255124160,46.402603781
škocjan,nm,Škocjan,,SI-121,3429,60,56,15.755392263,46.457913856
škofja_loka,kr,Škofja Loka,,SI-122,23462,146,160,15.322852758,46.198457908
škofljica,lj,Škofljica,,SI-123,11657,43,269,15.091333253,45.777230614
šmarje_pri_jelšah,ce,Šmarje pri Jelšah,,SI-124,10375,108,95,15.836168259,46.652405205
šmarješke_toplice,nm,Šmarješke Toplice,,SI-206,3521,34,102,15.886185117,46.569824483
šmartno_ob_paki,ce,Šmartno ob Paki,,SI-125,3278,18,181,15.952280568,46.522998884
šmartno_pri_litiji,lj,Šmartno pri Litiji,,SI-194,5661,95,59,16.024541268,46.564814457
šoštanj,ce,Šoštanj,,SI-126,8847,96,92,15.788150207,46.612812683
štore,ce,Štore,,SI-127,4477,28,162,16.066824281,46.479744370
tabor,ce,Tabor,,SI-184,1670,35,48,15.009188862,46.220611788
tišina,ms,Tišina,,SI-010,3965,39,102,16.078484154,46.661035251
tolmin,ng,Tolmin,,SI-128,11018,382,29,13.808847704,46.169817101
trbovlje,za,Trbovlje,,SI-129,16024,58,278,15.049945403,46.141257081
trebnje,nm,Trebnje,,SI-130,13310,163,81,14.973878769,45.906005492
trnovska_vas,mb,Trnovska vas,,SI-185,1374,23,59,15.888469075,46.522770937
trzin,lj,Trzin,,SI-186,3925,9,438,14.330701490,46.388487574
