date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2010-09-09,,,,,1,,,27,,,,,1,2,2,19
2010-09-10,,,,,1,,2,23,,,,3,,1,2,23
2010-09-11,,,,,,1,2,28,,,,1,1,,3,23
2010-09-12,,,,1,,,1,23,,,,2,1,,1,22
2010-09-13,,,,,1,1,,29,,,,,,,4,20
2010-09-14,,,,,,,,28,,,,,1,1,4,11
2010-09-15,,,,,,,,25,,,,1,1,,7,19
2010-09-16,,,,,,,1,24,,,,,,2,6,22
2010-09-17,,1,,,1,,1,23,,,,,1,,,23
2010-09-18,,,,1,,1,,23,,,,,1,2,4,15
2010-09-19,,,1,,1,,1,26,,,,,,1,2,31
2010-09-20,,1,,,,,1,13,,,,,,,4,27
2010-09-21,,,,,,1,1,25,,,,1,,4,5,16
2010-09-22,,,,1,,1,1,29,,,1,,,1,5,28
2010-09-23,,,,,,1,2,24,,,,,,1,2,20
2010-09-24,,,,,1,,,40,,,,,,2,3,33
2010-09-25,,,,,,1,,28,,,,,1,2,9,22
2010-09-26,,,,,,1,1,30,,,,,1,2,3,19
2010-09-27,,,,,1,,3,31,,,,,,1,3,21
2010-09-28,,,,,1,,2,33,,,,2,2,3,5,11
2010-09-29,,1,,,,1,2,19,,1,,,,,3,14
2010-09-30,,,,,1,1,,36,,,,1,1,1,3,22
2010-10-01,,,,,,1,1,23,,,,,,1,2,15
2010-10-02,,1,,,,,2,23,,,,,,,1,28
2010-10-03,,,,,1,,,14,,,,,,,5,24
2010-10-04,,,,,,,2,20,,,,,,2,3,24
2010-10-05,,,,,,,3,16,,,,,1,,1,13
2010-10-06,,,,1,,2,2,19,,,1,,1,,,22
2010-10-07,,,,,,3,1,17,,,,1,1,1,5,18
2010-10-08,,,,,,1,1,18,,,,1,1,3,5,23
2010-10-09,,,,,1,,1,16,,,,,1,1,3,34
2010-10-10,,,,,,,4,30,,,,,,4,4,21
2010-10-11,,,,,,2,2,29,,,,,,1,2,27
2010-10-12,,,,,1,,1,25,,,,1,,,8,13
2010-10-13,,,,1,,,1,25,,,,,,3,,26
2010-10-14,,,,1,,,3,21,,,,1,1,1,1,27
2010-10-15,,,,,1,,,22,,,,,,4,1,25
2010-10-16,,,,,1,1,1,25,,,,1,1,1,4,16
2010-10-17,,,,,,,2,27,,,,,1,1,4,19
2010-10-18,,1,,,,,1,30,,,,,3,,4,25
2010-10-19,,,,,,,,26,,,,,,2,3,23
2010-10-20,,,,,,,,33,,,,1,1,2,1,18
2010-10-21,,,,,2,,1,20,,1,,2,,1,8,23
