,datum,WWTP,Statistična_regija,Različica.virusa,Delež.različice
103,2022-10-24,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.7810233784827877
104,2022-10-24,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.9697510088545508
105,2022-10-25,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9967618299815644
106,2022-10-24,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.9894514699944246
107,2022-10-24,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9805550659750834
108,2022-10-24,ČN_Koper,Obalno-kraška,BA.5* [Omicron (BA.5.X)],0.9971429999374656
109,2022-10-24,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9999999997584612
110,2022-10-25,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.8001037779960971
111,2022-10-25,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.959059999924626
112,2022-10-24,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.99519364984591
113,2022-11-29,CČN_Brežice,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.4823480000015703
114,2022-11-28,ČN_Koper,Obalno-kraška,BQ.1* [Omicron (BQ.1.X)],0.4363769999928556
115,2022-11-28,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.617725219021877
116,2022-11-28,ČN_Domžale_Kamnik,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.5318169299961771
117,2022-11-29,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.8331725998512004
118,2022-11-28,CČN_Ljubljana,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.4895829999567432
119,2022-11-29,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.5999999871461349
120,2022-11-28,CČN_Postojna,Primorsko-notranjska,BQ.1* [Omicron (BQ.1.X)],0.7114849931675788
121,2022-11-28,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.9833332998879626
122,2022-11-29,CČN_Trbovlje,Zasavska,BQ.1* [Omicron (BQ.1.X)],0.5159569977671552
123,2022-11-29,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.4139776898515775
124,2022-12-28,OČN_Šaleške doline,Savinjska,BQ.1* [Omicron (BQ.1.X)],0.7307689999774168
